,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
10,10,2010-09,165869.58,24.5,25.4,18.5,16.2,20.2,21.4,19.1,20.7,230162.6,19.5,17.3,54.5,32.3,32.0,163.4,17.8,35.3,1339.0,11,2010-11-30,3187.53,3136.99,3205.78,3060.44,8576235500.0,120572328539.0,-0.002782922483017,0.0326969483485761,-0.0431719578321894,-0.1961976289372933,4.33
11,11,2010-10,187556.1,24.4,25.7,18.5,15.9,18.8,21.4,17.0,20.6,268052.2,56.3,21.5,61.4,33.2,43.5,159.3,23.0,33.8,1498.3,12,2010-12-31,3069.05,3128.26,3129.45,3067.11,6256607800.0,90545901164.0,-0.0165427426109082,0.0303779097645335,-0.026906331315172,-0.2501454482683666,5.04
12,12,2010-11,210697.86,24.9,26.1,18.5,17.3,19.0,21.1,18.8,20.6,308238.0,70.7,26.8,68.4,32.3,44.9,182.1,27.6,33.1,1680.6,13,2011-01-31,3035.42,3076.51,3076.55,3032.45,6710591400.0,83070309373.0,0.0529983650305052,0.0377733210683532,-0.0339443070232179,-0.1990079668195454,6.06
13,13,2010-12,241414.93,24.5,26.9,19.0,21.2,23.9,21.7,19.2,20.6,336381.7,43.1,28.0,75.5,32.7,44.9,195.4,23.9,31.9,1865.4,14,2011-02-28,3200.68,3239.56,3241.6,3178.83,7663066300.0,109249970846.0,-0.0050222869772438,-0.0734667670918273,-0.1212448604131424,-0.1868834039190507,5.93
14,14,2011-01,241414.93,24.5,26.9,19.0,21.2,23.9,21.7,19.2,20.6,18691.05,34.61,34.61,5.58,28.52,28.52,183.5,13.26,13.26,183.5,15,2011-03-31,3257.16,3223.29,3264.96,3210.17,6450388000.0,86565372662.0,-0.0094840985452752,-0.0555953699480964,-0.1991567621901846,-0.2383868655938497,6.64
15,15,2011-02,17444.16,24.9,29.9,19.5,20.0,22.7,22.4,23.0,24.7,44236.9,41.5,38.5,10.0,20.5,22.2,129.4,6.2,10.3,313.3,16,2011-04-29,3161.16,3192.72,3193.6,3147.14,5368306500.0,63455814284.0,-0.0598737126963841,-0.0691072189230499,-0.1557950587586759,-0.1774537071838432,7.23
16,16,2011-03,39464.91,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,73788.3,33.7,36.6,17.3,21.8,24.1,192.3,9.9,10.3,507.0,17,2011-05-31,2958.61,3001.56,3001.73,2946.15,3968939900.0,50553386204.0,0.0141692986313783,-0.0515665187435865,-0.1599301696451178,-0.1231093164887592,7.31
17,17,2011-04,62716.23,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,99331.8,16.0,30.7,24.8,23.4,30.9,156.5,-1.6,6.9,663.3,18,2011-06-30,3003.23,3044.09,3058.63,3003.23,6250254900.0,73891668789.0,-0.0236556737809986,-0.1520125883268892,-0.2294117453820354,-0.1913478248015006,6.82
18,18,2011-05,90254.51,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,128821.1,16.5,27.0,33.7,23.9,26.6,142.6,-1.9,5.2,806.2,19,2011-07-29,2981.02,2972.08,2995.97,2948.08,4629825300.0,54358237266.0,-0.0421590266749212,-0.0931233344997443,-0.1708635030012649,-0.2150547764528545,6.79
19,19,2011-06,124566.68,25.6,32.4,19.0,19.3,18.5,20.2,18.9,22.1,167352.5,37.6,29.9,42.4,24.7,27.3,148.5,3.6,5.0,955.0,20,2011-08-31,2843.99,2846.78,2855.3,2823.77,3210789900.0,37624544060.0,-0.0932386766803196,-0.1142554043515832,-0.0746949184692882,-0.2254863389513767,7.12
20,20,2011-07,152419.86,25.4,31.8,19.0,17.9,15.8,19.7,17.4,21.5,201603.6,23.5,28.8,50.6,23.1,23.5,131.8,-1.3,4.0,1085.0,21,2011-09-30,2595.58,2581.35,2607.57,2572.19,3205082200.0,32376678343.0,0.0441474422298409,-0.0912739458035524,-0.0489859956999243,-0.1116625021790922,7.54
21,21,2011-08,180607.62,25.0,32.2,18.6,16.0,15.7,19.0,17.6,21.2,236154.8,18.4,27.0,58.0,20.1,11.3,145.0,9.5,4.7,1230.1,22,2011-10-31,2704.53,2695.31,2709.32,2680.99,5040711200.0,52522499085.0,-0.0644786685019533,-0.0857229780618925,-0.0256556759704821,-0.1634283254987366,7.25
22,22,2011-09,212273.99,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,277748.9,30.4,26.9,65.8,20.3,15.2,166.4,2.5,4.5,1396.8,23,2011-11-30,2600.1,2521.52,2601.9,2507.18,4235264500.0,42454205363.0,-0.0697119197944098,0.0446635362797043,0.0438307052888733,-0.1514404010279514,6.52
23,23,2011-10,241365.09,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,324072.5,26.1,26.9,72.5,18.9,9.4,160.5,1.3,4.2,1558.1,24,2011-12-30,2318.67,2345.74,2349.03,2318.67,3586524300.0,32362650284.0,0.050525633701945,0.0465354216579843,0.0493959262322338,0.0755454568707529,5.0
24,24,2011-11,269452.12,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,378298.1,43.4,28.6,79.5,17.3,-1.5,179.3,-1.3,3.9,1737.1,25,2012-01-31,2462.34,2464.26,2472.84,2447.77,3070150100.0,32694132107.0,0.0689375309423516,0.0656992362818857,-0.0532979474568431,0.0903394933976122,2.72
25,25,2011-12,301932.85,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,413328.6,32.7,28.9,86.0,15.3,-11.0,182.4,-6.5,3.0,1919.1,26,2012-02-29,2655.86,2634.14,2666.65,2631.78,5912020600.0,64875221164.0,-0.0680449786268003,-0.0007972241414655,-0.1629640034318601,0.0148777210019208,1.69
26,26,2012-01,301932.85,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,23627.25,-1.54,-1.54,4.85,-29.81,-29.81,138.92,-25.71,-25.71,138.92,27,2012-03-30,2447.94,2454.9,2461.98,2438.49,3702708600.0,39139734882.0,0.069762515784757,0.0027333088924192,-0.0659049248441892,0.0163672654690618,0.73
27,27,2012-02,21188.83,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,51604.4,-5.83,-3.9,11.1,-11.9,10.99,173.13,32.79,-1.8,312.0,28,2012-04-27,2630.55,2626.16,2637.92,2623.6,4823358600.0,53345515969.0,0.0022390105705669,-0.1116611326042585,-0.1414003716452918,-0.0681032381880768,0.03
28,28,2012-03,47865.4,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,89208.4,17.6,3.3,17.9,-3.2,-5.5,202.4,5.1,0.0,506.4,29,2012-05-31,2623.16,2632.04,2645.59,2617.23,4410746900.0,49875041384.0,-0.0647520554398868,-0.1622961657117673,-0.187071625051291,-0.0097300952873057,-0.32
29,29,2012-04,75591.6,20.2,24.36,12.0,10.1,7.4,9.0,6.8,10.9,115904.8,0.6,-0.1,24.8,-9.2,-19.0,175.8,10.7,3.1,695.8,30,2012-06-29,2418.86,2461.61,2462.82,2417.49,3799494100.0,40976538386.0,-0.0522787931475742,-0.0684511356388705,0.0249186508017109,-0.1060159814105403,-0.7
30,30,2012-05,108924.21,20.1,24.48,10.8,7.9,7.8,8.7,9.5,10.5,150579.8,13.7,1.6,31.7,-12.7,-24.4,171.5,18.5,6.2,870.5,31,2012-07-31,2336.88,2332.92,2350.07,2329.51,3209972300.0,31196332451.0,-0.0548882944978825,-0.0334773588464242,0.1517240196834868,-0.0599677657184987,-1.4
31,31,2012-06,150710.06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,194030.2,4.5,2.7,41.6,-9.0,-17.8,169.5,13.8,6.7,1028.2,32,2012-08-31,2205.57,2204.87,2218.87,2203.12,2596498600.0,23340891008.0,0.0400205000748343,-0.0295754398218489,0.2124660410817871,0.0494541628304616,-2.08
32,32,2012-07,184311.78,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,239329.6,21.2,5.1,44.9,-16.4,-33.7,148.9,12.3,7.4,1176.4,33,2012-09-28,2235.06,2293.11,2297.03,2234.32,5787582500.0,54431465854.0,-0.0166978470287076,0.1002306910702057,0.088076891208882,0.0505557954044941,-2.87
33,33,2012-08,217958.07,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,282583.5,15.2,6.9,50.8,-16.7,-31.7,158.3,8.2,7.6,1334.3,34,2012-10-31,2241.43,2254.82,2256.09,2233.68,3716979500.0,30634360248.0,-0.0510728129074605,0.1916161822229711,0.0853682333844829,0.0527314818921242,-3.48
34,34,2012-09,256932.89,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,327870.1,-4.9,4.5,60.0,-16.6,-12.6,180.4,6.3,7.3,1519.5,35,2012-11-30,2114.24,2139.66,2142.86,2109.96,3640691100.0,28552066162.0,0.1791359374853949,0.2494181318527242,0.2181514820111607,0.13987269005356,-3.55
35,35,2012-10,292542.0,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,374732.3,-7.0,2.9,66.5,-16.9,-19.5,167.7,3.8,6.9,1687.4,36,2012-12-31,2485.56,2522.95,2522.95,2485.56,8200229300.0,81149079560.0,0.0649755246834065,-0.0110465922828434,-0.1277512435838997,-0.0764660417368555,-2.76
