,early_warning_idx,consistency_idx,leading_idx,lagging_idx,boom_idx,boom_idx_yoy,boom_idx_mom,confidence_idx,confidence_idx_yoy,confidence_idx_mom,cpi_month,interest_rate,growth_yoy,growth_acc,state_owned_yoy,state_owned_acc,private_yoy,private_acc,collective_yoy,collective_acc,stock_cooperate_yoy,stock_cooperate_acc,joint_stock_yoy,joint_stock_acc,foreign_yoy,foreign_acc
2016-08-02,65.3,94.22967741935484,99.14064516129032,89.00774193548386,110.1586956521739,10.158695652173913,2.58695652173913,110.29130434782608,10.291304347826088,2.323913043478261,101.31935483870967,2.008,6.293548387096774,6.0,3.5903225806451613,0.7096774193548386,6.496774193548387,8.390322580645162,-4.090322580645161,1.2806451612903227,6.7290322580645165,7.27741935483871,6.4,6.996774193548387,6.683870967741935,3.9096774193548387
2016-08-03,65.3,94.22935483870968,99.15129032258064,89.01548387096774,110.19673913043478,10.196739130434782,2.6173913043478256,110.32826086956523,10.328260869565216,2.359782608695652,101.33870967741936,2.004,6.287096774193548,6.0,3.5806451612903225,0.7193548387096774,6.493548387096774,8.380645161290323,-4.080645161290322,1.261290322580645,6.558064516129033,7.254838709677419,6.4,6.993548387096774,6.667741935483871,3.9193548387096775
2016-08-04,65.3,94.22903225806452,99.16193548387096,89.0232258064516,110.23478260869565,10.234782608695653,2.6478260869565213,110.36521739130436,10.365217391304348,2.3956521739130436,101.35806451612903,2.002,6.280645161290322,6.0,3.5709677419354837,0.7290322580645161,6.490322580645161,8.370967741935484,-4.070967741935483,1.2419354838709677,6.387096774193549,7.232258064516129,6.4,6.990322580645161,6.651612903225806,3.9290322580645163
2016-08-05,65.3,94.22870967741936,99.17258064516129,89.03096774193548,110.27282608695651,10.272826086956522,2.678260869565217,110.40217391304348,10.402173913043478,2.431521739130435,101.37741935483871,2.002,6.274193548387097,6.0,3.5612903225806454,0.7387096774193548,6.487096774193549,8.361290322580645,-4.0612903225806445,1.2225806451612904,6.216129032258065,7.209677419354838,6.4,6.987096774193549,6.635483870967742,3.9387096774193546
2016-08-08,65.3,94.22774193548388,99.20451612903226,89.05419354838709,110.38695652173912,10.386956521739132,2.769565217391304,110.51304347826087,10.513043478260869,2.5391304347826087,101.43548387096774,2.005,6.254838709677419,6.0,3.532258064516129,0.7677419354838709,6.47741935483871,8.332258064516129,-4.032258064516129,1.164516129032258,5.703225806451613,7.141935483870967,6.4,6.97741935483871,6.587096774193548,3.967741935483871
2016-08-09,65.3,94.22741935483872,99.21516129032257,89.06193548387097,110.425,10.425,2.8,110.55000000000001,10.55,2.575,101.45483870967742,2.01,6.248387096774193,6.0,3.52258064516129,0.7774193548387096,6.474193548387097,8.32258064516129,-4.02258064516129,1.1451612903225807,5.532258064516129,7.119354838709677,6.4,6.974193548387097,6.570967741935484,3.97741935483871
2016-08-10,65.3,94.22709677419356,99.2258064516129,89.06967741935483,110.46304347826087,10.46304347826087,2.8304347826086955,110.58695652173914,10.58695652173913,2.6108695652173917,101.47419354838709,2.017,6.241935483870967,6.0,3.5129032258064514,0.7870967741935484,6.470967741935484,8.312903225806451,-4.012903225806451,1.1258064516129032,5.361290322580645,7.096774193548387,6.4,6.970967741935484,6.554838709677419,3.9870967741935486
2016-08-11,65.3,94.2267741935484,99.23645161290322,89.07741935483871,110.50108695652173,10.501086956521739,2.860869565217391,110.62391304347827,10.623913043478261,2.6467391304347827,101.49354838709678,2.021,6.235483870967742,6.0,3.503225806451613,0.7967741935483871,6.467741935483871,8.303225806451612,-4.003225806451613,1.1064516129032258,5.190322580645161,7.074193548387097,6.4,6.967741935483871,6.538709677419355,3.996774193548387
2016-08-12,65.3,94.22645161290323,99.24709677419354,89.08516129032257,110.5391304347826,10.53913043478261,2.891304347826087,110.6608695652174,10.660869565217391,2.682608695652174,101.51290322580645,2.021,6.229032258064516,6.0,3.4935483870967743,0.8064516129032258,6.464516129032258,8.293548387096774,-3.993548387096774,1.0870967741935484,5.019354838709678,7.051612903225807,6.4,6.964516129032258,6.52258064516129,4.006451612903226
2016-08-15,65.3,94.22548387096775,99.2790322580645,89.1083870967742,110.65326086956522,10.653260869565218,2.982608695652174,110.77173913043478,10.771739130434783,2.790217391304348,101.57096774193549,2.0233,6.209677419354838,6.0,3.464516129032258,0.8354838709677419,6.45483870967742,8.264516129032257,-3.964516129032258,1.0290322580645161,4.506451612903225,6.983870967741935,6.4,6.95483870967742,6.474193548387097,4.035483870967742
2016-08-16,65.3,94.22516129032259,99.28967741935483,89.11612903225806,110.69130434782609,10.691304347826087,3.0130434782608697,110.80869565217392,10.808695652173913,2.8260869565217392,101.59032258064516,2.022,6.203225806451613,6.0,3.454838709677419,0.8451612903225807,6.451612903225807,8.254838709677419,-3.954838709677419,1.0096774193548388,4.335483870967742,6.961290322580645,6.4,6.951612903225807,6.458064516129032,4.04516129032258
2016-08-17,65.3,94.22483870967741,99.30032258064516,89.12387096774194,110.72934782608695,10.729347826086958,3.0434782608695654,110.84565217391305,10.845652173913043,2.8619565217391307,101.60967741935484,2.022,6.196774193548387,6.0,3.445161290322581,0.8548387096774194,6.448387096774193,8.245161290322581,-3.9451612903225803,0.9903225806451612,4.164516129032258,6.938709677419355,6.4,6.948387096774193,6.441935483870968,4.054838709677419
2016-08-18,65.3,94.22451612903225,99.31096774193549,89.1316129032258,110.76739130434783,10.767391304347827,3.07391304347826,110.88260869565218,10.882608695652173,2.8978260869565218,101.62903225806451,2.023,6.190322580645161,6.0,3.435483870967742,0.864516129032258,6.445161290322581,8.235483870967743,-3.9354838709677415,0.9709677419354839,3.9935483870967743,6.916129032258064,6.4,6.945161290322581,6.425806451612903,4.064516129032258
2016-08-19,65.3,94.22419354838709,99.3216129032258,89.13935483870968,110.8054347826087,10.805434782608696,3.104347826086956,110.91956521739131,10.919565217391305,2.9336956521739133,101.6483870967742,2.023,6.183870967741935,6.0,3.425806451612903,0.8741935483870967,6.441935483870968,8.225806451612904,-3.925806451612903,0.9516129032258065,3.8225806451612905,6.893548387096774,6.4,6.941935483870968,6.409677419354839,4.074193548387097
2016-08-22,65.3,94.22322580645161,99.35354838709677,89.16258064516128,110.9195652173913,10.919565217391305,3.195652173913043,111.0304347826087,11.030434782608696,3.0413043478260873,101.70645161290322,2.0233,6.164516129032258,6.0,3.396774193548387,0.9032258064516129,6.432258064516129,8.196774193548388,-3.896774193548387,0.8935483870967742,3.3096774193548386,6.825806451612903,6.4,6.932258064516129,6.361290322580645,4.103225806451613
2016-08-23,65.3,94.22290322580645,99.36419354838709,89.17032258064516,110.95760869565217,10.957608695652175,3.2260869565217387,111.06739130434784,11.067391304347826,3.0771739130434783,101.72580645161291,2.033,6.158064516129032,6.0,3.387096774193548,0.9129032258064516,6.429032258064517,8.187096774193549,-3.887096774193548,0.8741935483870967,3.138709677419355,6.8032258064516125,6.4,6.929032258064517,6.345161290322581,4.112903225806452
2016-08-24,65.3,94.22258064516129,99.37483870967742,89.17806451612903,110.99565217391304,10.995652173913044,3.2565217391304344,111.10434782608696,11.104347826086958,3.11304347826087,101.74516129032259,2.043,6.151612903225806,6.0,3.3774193548387097,0.9225806451612903,6.425806451612903,8.17741935483871,-3.8774193548387093,0.8548387096774193,2.967741935483871,6.780645161290322,6.4,6.925806451612903,6.329032258064516,4.122580645161291
2016-08-25,65.3,94.22225806451613,99.38548387096773,89.1858064516129,111.0336956521739,11.033695652173915,3.28695652173913,111.1413043478261,11.141304347826086,3.148913043478261,101.76451612903226,2.044,6.14516129032258,6.0,3.367741935483871,0.932258064516129,6.422580645161291,8.167741935483871,-3.867741935483871,0.8354838709677419,2.796774193548387,6.758064516129032,6.4,6.922580645161291,6.312903225806452,4.1322580645161295
2016-08-26,65.3,94.22193548387096,99.39612903225806,89.19354838709677,111.07173913043478,11.071739130434784,3.317391304347826,111.17826086956522,11.178260869565218,3.1847826086956523,101.78387096774193,2.044,6.138709677419355,6.0,3.358064516129032,0.9419354838709677,6.419354838709678,8.158064516129032,-3.858064516129032,0.8161290322580644,2.6258064516129034,6.735483870967742,6.4,6.919354838709678,6.296774193548387,4.141935483870968
2016-08-29,65.3,94.22096774193548,99.42806451612903,89.21677419354839,111.18586956521739,11.185869565217391,3.408695652173913,111.28913043478262,11.289130434782608,3.2923913043478263,101.84193548387097,2.049,6.119354838709677,6.0,3.329032258064516,0.9709677419354839,6.409677419354839,8.129032258064516,-3.829032258064516,0.7580645161290321,2.112903225806451,6.66774193548387,6.4,6.909677419354839,6.248387096774194,4.170967741935484
2016-08-30,65.3,94.22064516129032,99.43870967741935,89.22451612903225,111.22391304347826,11.223913043478262,3.4391304347826086,111.32608695652175,11.326086956521738,3.3282608695652174,101.86129032258064,2.063,6.112903225806451,6.0,3.3193548387096774,0.9806451612903226,6.4064516129032265,8.119354838709677,-3.8193548387096774,0.7387096774193548,1.9419354838709673,6.64516129032258,6.4,6.9064516129032265,6.232258064516129,4.180645161290323
2016-08-31,65.3,94.22032258064516,99.44935483870967,89.23225806451613,111.26195652173912,11.261956521739132,3.4695652173913043,111.36304347826088,11.36304347826087,3.364130434782609,101.88064516129033,2.065,6.106451612903226,6.0,3.3096774193548386,0.9903225806451613,6.403225806451613,8.109677419354838,-3.8096774193548386,0.7193548387096773,1.7709677419354835,6.62258064516129,6.4,6.903225806451613,6.216129032258065,4.190322580645161
2016-09-01,65.3,94.22,99.46,89.24,111.3,11.3,3.5,111.4,11.4,3.4,101.9,2.066,6.1,6.0,3.3,1.0,6.4,8.1,-3.8,0.7,1.6,6.6,6.4,6.9,6.2,4.2
2016-09-02,65.39,94.21933333333334,99.46666666666665,89.25566666666666,111.32417582417582,11.324175824175825,3.4857142857142858,111.42417582417583,11.424175824175824,3.3868131868131868,101.90666666666667,2.066,6.1,6.0,3.2966666666666664,1.0066666666666666,6.413333333333334,8.096666666666666,-3.8,0.6833333333333332,1.6933333333333334,6.593333333333333,6.413333333333334,6.9,6.153333333333333,4.203333333333333
2016-09-05,65.66,94.21733333333333,99.48666666666666,89.30266666666667,111.3967032967033,11.396703296703297,3.442857142857143,111.4967032967033,11.496703296703297,3.3472527472527474,101.92666666666668,2.07,6.1,6.0,3.2866666666666666,1.0266666666666666,6.453333333333334,8.086666666666666,-3.8,0.6333333333333333,1.9733333333333334,6.573333333333333,6.453333333333334,6.9,6.013333333333334,4.213333333333334
2016-09-06,65.75,94.21666666666667,99.49333333333333,89.31833333333333,111.42087912087912,11.420879120879121,3.4285714285714284,111.52087912087913,11.52087912087912,3.3340659340659338,101.93333333333334,2.077,6.1,6.0,3.283333333333333,1.0333333333333332,6.466666666666667,8.083333333333332,-3.8,0.6166666666666666,2.066666666666667,6.566666666666666,6.466666666666667,6.9,5.966666666666667,4.216666666666667
2016-09-07,65.84,94.216,99.5,89.33399999999999,111.44505494505495,11.445054945054945,3.414285714285714,111.54505494505494,11.545054945054945,3.3208791208791206,101.94,2.0803,6.1,6.0,3.28,1.04,6.48,8.08,-3.8,0.6,2.16,6.56,6.48,6.9,5.92,4.22
2016-09-08,65.92999999999999,94.21533333333333,99.50666666666666,89.34966666666666,111.46923076923076,11.46923076923077,3.4,111.56923076923077,11.569230769230769,3.3076923076923075,101.94666666666667,2.081,6.1,6.0,3.2766666666666664,1.0466666666666666,6.493333333333333,8.076666666666666,-3.8,0.5833333333333333,2.2533333333333334,6.553333333333333,6.493333333333333,6.9,5.873333333333333,4.223333333333334
2016-09-09,66.02,94.21466666666667,99.51333333333332,89.36533333333333,111.49340659340659,11.493406593406593,3.3857142857142857,111.5934065934066,11.593406593406593,3.2945054945054943,101.95333333333333,2.085,6.1,6.0,3.2733333333333334,1.0533333333333332,6.506666666666667,8.073333333333332,-3.8,0.5666666666666667,2.3466666666666667,6.546666666666667,6.506666666666667,6.9,5.826666666666667,4.226666666666667
2016-09-12,66.28999999999999,94.21266666666666,99.53333333333333,89.41233333333332,111.56593406593406,11.565934065934066,3.342857142857143,111.66593406593407,11.665934065934067,3.254945054945055,101.97333333333333,2.095,6.1,6.0,3.263333333333333,1.0733333333333333,6.546666666666667,8.063333333333333,-3.8,0.5166666666666666,2.626666666666667,6.526666666666666,6.546666666666667,6.9,5.6866666666666665,4.236666666666666
2016-09-13,66.38,94.212,99.53999999999999,89.428,111.59010989010989,11.590109890109892,3.3285714285714287,111.6901098901099,11.690109890109891,3.241758241758242,101.98,2.108,6.1,6.0,3.26,1.08,6.5600000000000005,8.06,-3.8,0.49999999999999994,2.72,6.52,6.5600000000000005,6.9,5.640000000000001,4.24
2016-09-14,66.47,94.21133333333333,99.54666666666667,89.44366666666666,111.61428571428571,11.614285714285716,3.3142857142857145,111.71428571428572,11.714285714285715,3.2285714285714286,101.98666666666666,2.128,6.1,6.0,3.256666666666667,1.0866666666666667,6.573333333333333,8.056666666666667,-3.8,0.4833333333333333,2.8133333333333335,6.513333333333334,6.573333333333333,6.9,5.593333333333334,4.243333333333333
2016-09-18,66.83,94.20866666666667,99.57333333333332,89.50633333333333,111.71098901098901,11.710989010989012,3.257142857142857,111.81098901098902,11.810989010989012,3.1758241758241756,102.01333333333334,2.14,6.1,6.0,3.243333333333333,1.1133333333333333,6.626666666666667,8.043333333333333,-3.8,0.41666666666666663,3.1866666666666665,6.486666666666666,6.626666666666667,6.9,5.406666666666666,4.256666666666667
2016-09-19,66.92,94.208,99.58,89.52199999999999,111.73516483516484,11.735164835164836,3.242857142857143,111.83516483516483,11.835164835164836,3.1626373626373625,102.02,2.154,6.1,6.0,3.24,1.1199999999999999,6.64,8.04,-3.8,0.39999999999999997,3.2800000000000002,6.48,6.64,6.9,5.36,4.26
2016-09-20,67.01,94.20733333333334,99.58666666666666,89.53766666666667,111.75934065934065,11.75934065934066,3.2285714285714286,111.85934065934066,11.85934065934066,3.1494505494505494,102.02666666666667,2.159,6.1,6.0,3.236666666666667,1.1266666666666667,6.653333333333333,8.036666666666667,-3.8,0.3833333333333333,3.3733333333333335,6.473333333333334,6.653333333333333,6.9,5.3133333333333335,4.263333333333334
