id,day,currency_id,market_id,term_id,interest_rate,currency_name
880183,2016-12-15,1,5,20,2.311,人民币元CNY
880238,2016-12-16,1,5,20,2.33,人民币元CNY
880293,2016-12-19,1,5,20,2.335,人民币元CNY
880348,2016-12-20,1,5,20,2.345,人民币元CNY
880403,2016-12-21,1,5,20,2.345,人民币元CNY
880458,2016-12-22,1,5,20,2.341,人民币元CNY
880513,2016-12-23,1,5,20,2.323,人民币元CNY
880528,2016-12-26,1,5,20,2.294,人民币元CNY
880540,2016-12-27,1,5,20,2.264,人民币元CNY
880588,2016-12-28,1,5,20,2.246,人民币元CNY
880643,2016-12-29,1,5,20,2.227,人民币元CNY
880698,2016-12-30,1,5,20,2.23,人民币元CNY
880753,2017-01-03,1,5,20,2.209,人民币元CNY
880808,2017-01-04,1,5,20,2.172,人民币元CNY
880863,2017-01-05,1,5,20,2.13,人民币元CNY
880918,2017-01-06,1,5,20,2.112,人民币元CNY
880973,2017-01-09,1,5,20,2.094,人民币元CNY
881028,2017-01-10,1,5,20,2.096,人民币元CNY
881083,2017-01-11,1,5,20,2.104,人民币元CNY
881138,2017-01-12,1,5,20,2.103,人民币元CNY
881193,2017-01-13,1,5,20,2.104,人民币元CNY
881247,2017-01-16,1,5,20,2.142,人民币元CNY
881302,2017-01-17,1,5,20,2.2563,人民币元CNY
881357,2017-01-18,1,5,20,2.328,人民币元CNY
881412,2017-01-19,1,5,20,2.364,人民币元CNY
881467,2017-01-20,1,5,20,2.376,人民币元CNY
881482,2017-01-22,1,5,20,2.189,人民币元CNY
881530,2017-01-23,1,5,20,2.175,人民币元CNY
881585,2017-01-24,1,5,20,2.164,人民币元CNY
881640,2017-01-25,1,5,20,2.165,人民币元CNY
881695,2017-01-26,1,5,20,2.5293,人民币元CNY
881930,2017-02-03,1,5,20,2.218,人民币元CNY
881945,2017-02-04,1,5,20,2.2571,人民币元CNY
881993,2017-02-06,1,5,20,2.278,人民币元CNY
882048,2017-02-07,1,5,20,2.281,人民币元CNY
882103,2017-02-08,1,5,20,2.2765,人民币元CNY
882158,2017-02-09,1,5,20,2.272,人民币元CNY
882213,2017-02-10,1,5,20,2.2678,人民币元CNY
882268,2017-02-13,1,5,20,2.264,人民币元CNY
882323,2017-02-14,1,5,20,2.261,人民币元CNY
882378,2017-02-15,1,5,20,2.2658,人民币元CNY
882433,2017-02-16,1,5,20,2.333,人民币元CNY
882488,2017-02-17,1,5,20,2.36,人民币元CNY
882541,2017-02-20,1,5,20,2.4086,人民币元CNY
882596,2017-02-21,1,5,20,2.483,人民币元CNY
882651,2017-02-22,1,5,20,2.4845,人民币元CNY
882706,2017-02-23,1,5,20,2.5271,人民币元CNY
882761,2017-02-24,1,5,20,2.4756,人民币元CNY
882816,2017-02-27,1,5,20,2.4338,人民币元CNY
882871,2017-02-28,1,5,20,2.493,人民币元CNY
882926,2017-03-01,1,5,20,2.4943,人民币元CNY
882981,2017-03-02,1,5,20,2.4611,人民币元CNY
883036,2017-03-03,1,5,20,2.369,人民币元CNY
883091,2017-03-06,1,5,20,2.4033,人民币元CNY
883146,2017-03-07,1,5,20,2.4041,人民币元CNY
883201,2017-03-08,1,5,20,2.4061,人民币元CNY
883255,2017-03-09,1,5,20,2.4076,人民币元CNY
883310,2017-03-10,1,5,20,2.4019,人民币元CNY
883365,2017-03-13,1,5,20,2.379,人民币元CNY
883420,2017-03-14,1,5,20,2.3761,人民币元CNY
883475,2017-03-15,1,5,20,2.3869,人民币元CNY
883530,2017-03-16,1,5,20,2.441,人民币元CNY
883585,2017-03-17,1,5,20,2.633,人民币元CNY
883640,2017-03-20,1,5,20,2.6325,人民币元CNY
883695,2017-03-21,1,5,20,2.6477,人民币元CNY
883750,2017-03-22,1,5,20,2.6507,人民币元CNY
883805,2017-03-23,1,5,20,2.657,人民币元CNY
883860,2017-03-24,1,5,20,2.604,人民币元CNY
883915,2017-03-27,1,5,20,2.482,人民币元CNY
883970,2017-03-28,1,5,20,2.448,人民币元CNY
884025,2017-03-29,1,5,20,2.521,人民币元CNY
884080,2017-03-30,1,5,20,2.507,人民币元CNY
884135,2017-03-31,1,5,20,2.5384,人民币元CNY
884150,2017-04-01,1,5,20,2.497,人民币元CNY
884284,2017-04-05,1,5,20,2.4868,人民币元CNY
884339,2017-04-06,1,5,20,2.537,人民币元CNY
884394,2017-04-07,1,5,20,2.4957,人民币元CNY
884449,2017-04-10,1,5,20,2.442,人民币元CNY
884504,2017-04-11,1,5,20,2.408,人民币元CNY
884559,2017-04-12,1,5,20,2.3885,人民币元CNY
884614,2017-04-13,1,5,20,2.413,人民币元CNY
884637,2017-04-14,1,5,20,2.429,人民币元CNY
884649,2017-04-17,1,5,20,2.444,人民币元CNY
884697,2017-04-18,1,5,20,2.486,人民币元CNY
884752,2017-04-19,1,5,20,2.575,人民币元CNY
884807,2017-04-20,1,5,20,2.5987,人民币元CNY
884862,2017-04-21,1,5,20,2.6163,人民币元CNY
884917,2017-04-24,1,5,20,2.7157,人民币元CNY
884972,2017-04-25,1,5,20,2.7514,人民币元CNY
885027,2017-04-26,1,5,20,2.759,人民币元CNY
885082,2017-04-27,1,5,20,2.792,人民币元CNY
885137,2017-04-28,1,5,20,2.819,人民币元CNY
885192,2017-05-02,1,5,20,2.8175,人民币元CNY
885239,2017-05-03,1,5,20,2.8451,人民币元CNY
885294,2017-05-04,1,5,20,2.8506,人民币元CNY
885349,2017-05-05,1,5,20,2.8348,人民币元CNY
885404,2017-05-08,1,5,20,2.818,人民币元CNY
885459,2017-05-09,1,5,20,2.8199,人民币元CNY
885510,2017-05-10,1,5,20,2.827,人民币元CNY
885565,2017-05-11,1,5,20,2.813,人民币元CNY
885620,2017-05-12,1,5,20,2.7911,人民币元CNY
885675,2017-05-15,1,5,20,2.716,人民币元CNY
885730,2017-05-16,1,5,20,2.746,人民币元CNY
885785,2017-05-17,1,5,20,2.7525,人民币元CNY
885840,2017-05-18,1,5,20,2.7641,人民币元CNY
885895,2017-05-19,1,5,20,2.715,人民币元CNY
885950,2017-05-22,1,5,20,2.6745,人民币元CNY
886005,2017-05-23,1,5,20,2.654,人民币元CNY
886060,2017-05-24,1,5,20,2.623,人民币元CNY
886115,2017-05-25,1,5,20,2.611,人民币元CNY
886170,2017-05-26,1,5,20,2.609,人民币元CNY
886185,2017-05-27,1,5,20,2.601,人民币元CNY
886284,2017-05-31,1,5,20,2.6365,人民币元CNY
886339,2017-06-01,1,5,20,2.6525,人民币元CNY
886394,2017-06-02,1,5,20,2.7953,人民币元CNY
886449,2017-06-05,1,5,20,2.8167,人民币元CNY
886503,2017-06-06,1,5,20,2.8419,人民币元CNY
886558,2017-06-07,1,5,20,2.809,人民币元CNY
886613,2017-06-08,1,5,20,2.8199,人民币元CNY
886668,2017-06-09,1,5,20,2.8275,人民币元CNY
886723,2017-06-12,1,5,20,2.8302,人民币元CNY
886778,2017-06-13,1,5,20,2.832,人民币元CNY
886833,2017-06-14,1,5,20,2.825,人民币元CNY
886888,2017-06-15,1,5,20,2.8317,人民币元CNY
886943,2017-06-16,1,5,20,2.8528,人民币元CNY
886998,2017-06-19,1,5,20,2.8635,人民币元CNY
887053,2017-06-20,1,5,20,2.8776,人民币元CNY
887108,2017-06-21,1,5,20,2.889,人民币元CNY
887135,2017-06-22,1,5,20,2.869,人民币元CNY
887179,2017-06-23,1,5,20,2.81,人民币元CNY
887269,2017-06-27,1,5,20,2.626,人民币元CNY
887324,2017-06-28,1,5,20,2.5596,人民币元CNY
887379,2017-06-29,1,5,20,2.539,人民币元CNY
887434,2017-06-30,1,5,20,2.618,人民币元CNY
887489,2017-07-03,1,5,20,2.72,人民币元CNY
887543,2017-07-04,1,5,20,2.6897,人民币元CNY
887598,2017-07-05,1,5,20,2.583,人民币元CNY
887653,2017-07-06,1,5,20,2.5473,人民币元CNY
887708,2017-07-07,1,5,20,2.533,人民币元CNY
887763,2017-07-10,1,5,20,2.549,人民币元CNY
887818,2017-07-11,1,5,20,2.621,人民币元CNY
