指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比
2018-11,5.90 ,9.50 ,3.70 ,3.90 ,6.70 ,7.30 ,12.40 ,10.70 ,-9.40 ,-9.00 ,0.20 ,-15.60 ,-16.70 ,-2.30 ,2.70 ,3.80 
2018-12,5.90 ,9.50 ,3.80 ,4.00 ,6.50 ,7.20 ,11.70 ,10.90 ,0.30 ,-14.70 ,0.40 ,-17.40 ,-14.90 ,-3.80 ,0.90 ,3.50 
2019-01,,,,,,,,,,,,,,,0.10 ,0.10 
2019-02,6.10 ,5.90 ,8.50 ,,,4.40 ,,10.00 ,,0.90 ,0.00 ,,,-15.10 ,0.10 ,0.10 
2019-03,6.30 ,4.60 ,11.00 ,14.60 ,14.10 ,8.40 ,16.40 ,12.60 ,10.80 ,3.70 ,-6.90 ,-5.70 ,-2.60 ,-10.40 ,0.40 ,0.20 
2019-04,6.10 ,2.50 ,8.90 ,3.30 ,2.00 ,6.70 ,2.80 ,10.10 ,-1.90 ,-40.80 ,-7.10 ,-25.00 ,-15.80 ,-11.80 ,0.90 ,0.30 
2019-05,5.60 ,2.70 ,8.40 ,6.50 ,2.50 ,5.70 ,4.90 ,9.00 ,-3.10 ,-30.10 ,-9.00 ,-17.40 ,-21.50 ,-14.10 ,0.60 ,0.40 
2019-06,5.80 ,3.00 ,7.90 ,5.70 ,2.60 ,5.10 ,5.30 ,8.30 ,-2.90 ,-23.70 ,-10.50 ,-14.00 ,-15.20 ,-14.20 ,0.00 ,0.30 
2019-07,5.70 ,3.30 ,7.30 ,4.20 ,0.70 ,4.50 ,4.00 ,7.70 ,-11.40 ,-18.90 ,-11.70 ,-17.40 ,-11.50 ,-12.80 ,-0.30 ,0.20 
2019-08,5.50 ,2.60 ,6.40 ,0.90 ,0.00 ,3.90 ,3.30 ,7.10 ,-15.00 ,-20.50 ,-16.70 ,-21.30 ,-0.60 ,-12.50 ,-0.80 ,0.10 
2019-09,5.40 ,2.50 ,6.00 ,2.60 ,3.50 ,3.90 ,7.00 ,7.10 ,-16.50 ,-1.80 ,-16.20 ,-17.80 ,-6.90 ,-12.00 ,-1.20 ,0.00 
2019-10,5.20 ,2.60 ,5.70 ,3.10 ,3.10 ,3.90 ,5.00 ,6.90 ,-2.80 ,-2.80 ,-16.90 ,-13.50 ,-2.10 ,-11.10 ,-1.60 ,-0.20 
2019-11,5.20 ,2.50 ,5.70 ,6.00 ,6.20 ,4.10 ,7.00 ,7.00 ,2.40 ,-2.50 ,-17.70 ,-13.20 ,3.70 ,-9.60 ,-1.40 ,-0.30 
2019-12,5.40 ,3.10 ,5.80 ,6.30 ,4.90 ,4.30 ,6.50 ,6.90 ,-1.10 ,-5.70 ,-18.80 ,-14.30 ,8.10 ,-8.00 ,-0.50 ,-0.30 
2020-01,,,,,,,,,,,,,,,0.10 ,0.10 
2020-02,-24.50 ,-31.50 ,-26.90 ,,,-28.20 ,,-24.40 ,,-31.50 ,-44.60 ,,,-45.80 ,-0.40 ,-0.20 
2020-03,-16.10 ,-25.20 ,-15.00 ,-1.60 ,-5.40 ,-17.20 ,-2.20 ,-13.50 ,-16.20 ,-21.30 ,-29.40 ,-21.70 ,-43.00 ,-44.60 ,-1.50 ,-0.60 
2020-04,-10.30 ,-18.80 ,-7.30 ,8.90 ,7.50 ,-9.00 ,14.30 ,-4.20 ,-5.80 ,-16.40 ,-19.90 ,11.40 ,5.10 ,-32.30 ,-3.10 ,-1.20 
2020-05,-6.30 ,-14.80 ,-4.70 ,3.60 ,7.30 ,-4.90 ,16.40 ,1.00 ,-9.80 ,-18.90 ,-14.80 ,17.10 ,19.00 ,-23.60 ,-3.70 ,-1.70 
2020-06,-3.10 ,-11.70 ,-3.10 ,2.60 ,7.40 ,-2.30 ,9.60 ,2.90 ,-18.20 ,-25.60 ,-7.70 ,15.40 ,20.40 ,-16.50 ,-3.00 ,-1.90 
2020-07,-1.60 ,-10.20 ,-1.20 ,7.80 ,9.60 ,-0.30 ,10.20 ,4.10 ,-17.30 ,-24.80 ,-9.10 ,14.70 ,26.80 ,-9.70 ,-2.40 ,-2.00 
2020-08,-0.30 ,-8.10 ,0.20 ,9.90 ,10.90 ,1.20 ,8.00 ,4.60 ,-17.40 ,-23.30 ,-6.70 ,11.80 ,7.60 ,-9.00 ,-2.00 ,-2.00 
2020-09,0.80 ,-6.50 ,1.80 ,12.60 ,12.50 ,2.60 ,8.00 ,5.10 ,-9.00 ,-20.00 ,-2.70 ,20.60 ,13.80 ,-6.10 ,-2.10 ,-2.00 
2020-10,1.80 ,-5.30 ,3.10 ,14.10 ,13.10 ,3.70 ,8.00 ,5.40 ,-7.10 ,-18.10 ,0.60 ,29.00 ,11.10 ,-4.10 ,-2.10 ,-2.00 
2020-11,2.60 ,-3.50 ,4.30 ,13.80 ,10.20 ,4.40 ,10.50 ,6.00 ,50.90 ,21.00 ,4.10 ,25.70 ,8.10 ,-2.70 ,-1.50 ,-2.00 
2020-12,2.90 ,-2.20 ,5.20 ,13.00 ,11.10 ,5.10 ,8.70 ,6.30 ,13.40 ,-1.20 ,5.90 ,32.40 ,6.50 ,-1.40 ,-0.40 ,-1.80 
2021-01,,,,,,,,,,,,,,,0.30 ,0.30 
2021-02,35.00 ,37.30 ,59.50 ,,,62.40 ,,59.20 ,,59.00 ,85.40 ,,,89.90 ,1.70 ,1.00 
2021-03,25.60 ,29.80 ,40.20 ,22.50 ,20.20 ,39.90 ,17.90 ,37.20 ,62.30 ,63.20 ,67.40 ,42.90 ,69.80 ,81.70 ,4.40 ,2.10 
2021-04,19.90 ,23.80 ,33.90 ,21.00 ,14.90 ,31.60 ,10.20 ,28.20 ,19.10 ,32.20 ,57.70 ,37.20 ,6.80 ,53.40 ,6.80 ,3.30 
2021-05,15.40 ,20.40 ,30.50 ,19.20 ,13.80 ,27.20 ,5.90 ,22.60 ,11.90 ,27.40 ,48.80 ,31.80 ,-4.00 ,38.40 ,9.00 ,4.40 
2021-06,12.60 ,19.20 ,28.20 ,19.70 ,13.90 ,24.30 ,10.50 ,20.10 ,0.60 ,22.00 ,45.60 ,29.50 ,-13.10 ,26.40 ,8.80 ,5.10 
2021-07,10.30 ,17.30 ,25.50 ,12.70 ,7.60 ,21.50 ,5.30 ,17.80 ,-2.00 ,18.20 ,44.20 ,27.50 ,-15.80 ,18.90 ,9.00 ,5.70 
2021-08,8.90 ,15.70 ,23.50 ,11.80 ,6.70 ,19.40 ,8.70 ,16.50 ,-7.70 ,14.50 ,40.60 ,23.10 ,-19.10 ,13.50 ,9.50 ,6.20 
2021-09,7.30 ,14.80 ,21.20 ,6.80 ,3.00 ,17.10 ,8.80 ,15.50 ,-0.70 ,12.50 ,38.40 ,2.10 ,-13.70 ,9.40 ,10.70 ,6.70 
2021-10,6.10 ,14.20 ,19.40 ,6.70 ,1.00 ,15.20 ,7.20 ,14.60 ,-6.70 ,10.00 ,31.90 ,4.80 ,-8.30 ,7.10 ,13.50 ,7.30 
2021-11,5.20 ,13.70 ,17.50 ,3.50 ,2.80 ,13.80 ,4.00 ,13.30 ,5.20 ,14.80 ,29.90 ,2.10 ,-7.10 ,5.30 ,12.90 ,7.90 
2021-12,4.90 ,13.50 ,16.00 ,4.60 ,1.50 ,12.40 ,7.40 ,12.60 ,5.90 ,10.20 ,29.20 ,5.80 ,3.40 ,4.80 ,10.30 ,8.10 
2022-01,,,,,,,,,,,,,,,9.10 ,9.10 
2022-02,12.20 ,20.90 ,6.80 ,,,5.00 ,,8.80 ,,-5.90 ,7.20 ,,,11.10 ,8.80 ,8.90 
2022-03,9.30 ,15.60 ,4.90 ,2.10 ,-0.70 ,2.60 ,7.60 ,8.20 ,-6.50 ,-6.20 ,1.50 ,3.60 ,-4.90 ,4.90 ,8.30 ,8.70 
2022-04,6.80 ,12.20 ,1.50 ,-6.60 ,-15.80 ,-2.70 ,-5.50 ,4.30 ,-10.00 ,-7.40 ,-5.20 ,-19.00 ,-43.50 ,-7.80 ,8.00 ,8.50 
2022-05,6.20 ,10.60 ,0.60 ,-2.30 ,-6.80 ,-3.60 ,1.10 ,3.60 ,6.90 ,-5.40 ,-8.70 ,-18.00 ,-4.80 ,-7.20 ,6.40 ,8.10 
2022-06,6.10 ,10.40 ,0.50 ,0.10 ,1.10 ,-2.70 ,6.00 ,4.10 ,21.90 ,-1.00 ,-7.30 ,-11.70 ,26.80 ,-2.10 ,6.10 ,7.70 
2022-07,5.70 ,9.90 ,0.10 ,-2.30 ,-0.40 ,-2.20 ,4.00 ,4.10 ,30.30 ,-0.30 ,-10.10 ,-14.80 ,31.50 ,2.90 ,4.20 ,7.20 
2022-08,5.80 ,10.00 ,-0.20 ,-2.30 ,0.80 ,-1.90 ,4.50 ,4.30 ,8.00 ,2.90 ,-10.50 ,-13.50 ,39.00 ,6.10 ,2.30 ,6.60 
2022-09,5.90 ,10.10 ,-0.10 ,1.30 ,2.30 ,-1.40 ,4.90 ,4.40 ,16.40 ,4.60 ,-11.10 ,-12.00 ,25.40 ,8.10 ,0.90 ,5.90 
2022-10,5.80 ,9.70 ,-0.40 ,-3.10 ,2.00 ,-1.00 ,3.00 ,4.20 ,9.40 ,4.90 ,-12.50 ,-8.50 ,8.60 ,8.10 ,-1.30 ,5.20 
2022-11,5.30 ,9.30 ,-0.40 ,-0.30 ,-0.90 ,-1.00 ,2.30 ,4.00 ,-15.20 ,1.50 ,-12.50 ,-13.20 ,-9.90 ,5.60 ,-1.30 ,4.60 
2022-12,5.10 ,9.10 ,-0.40 ,-1.20 ,-3.40 ,-1.20 ,-0.50 ,3.60 ,-13.70 ,-1.10 ,-13.10 ,-11.70 ,-16.70 ,3.40 ,-0.70 ,4.10 
2023-01,,,,,,,,,,,,,,,-0.80 ,-0.80 
2023-02,5.50 ,8.10 ,-0.80 ,,,-1.30 ,,3.90 ,,23.20 ,-11.80 ,,,-14.00 ,-1.40 ,-1.10 
2023-03,5.10 ,7.00 ,1.60 ,4.80 ,4.60 ,1.10 ,7.30 ,5.50 ,-2.60 ,-4.10 ,-6.80 ,0.00 ,11.20 ,-5.10 ,-2.50 ,-1.60 
2023-04,4.70 ,6.40 ,1.80 ,2.70 ,13.50 ,4.00 ,9.10 ,6.40 ,-10.60 ,4.30 ,-3.00 ,-1.90 ,59.80 ,4.30 ,-3.60 ,-2.10 
2023-05,4.00 ,6.00 ,1.30 ,-0.10 ,6.10 ,4.50 ,3.90 ,5.90 ,3.90 ,-1.20 ,-2.00 ,1.90 ,17.30 ,7.10 ,-4.60 ,-2.60 
2023-06,3.80 ,6.00 ,1.50 ,2.40 ,-0.20 ,3.60 ,3.40 ,5.50 ,-0.70 ,-1.20 ,-2.90 ,0.00 ,0.80 ,6.10 ,-5.40 ,-3.10 
2023-07,3.40 ,5.70 ,1.60 ,1.40 ,-1.40 ,2.80 ,1.50 ,4.90 ,-15.80 ,-3.20 ,-1.70 ,-2.10 ,-3.80 ,4.50 ,-4.40 ,-3.20 
2023-08,3.20 ,5.90 ,1.60 ,1.40 ,-0.80 ,2.40 ,-0.50 ,4.20 ,-3.30 ,-2.40 ,-1.00 ,0.00 ,4.50 ,4.80 ,-3.00 ,-3.20 
2023-09,3.10 ,6.20 ,1.90 ,3.70 ,0.00 ,2.10 ,1.60 ,3.90 ,-7.20 ,-3.60 ,1.60 ,12.50 ,3.40 ,4.60 ,-2.50 ,-3.10 
2023-10,2.90 ,6.20 ,2.30 ,5.50 ,-0.10 ,1.80 ,2.70 ,3.80 ,-6.30 ,-3.50 ,3.70 ,23.30 ,8.50 ,4.90 ,-2.60 ,-3.10 
