指标名称,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比
2023/12/12,,,,,,,880781,514393,,,,,,,,
2023/12/13,,,,,,,823413,473263,,,,,,,,
2023/12/14,84.36,65.68,,,,,823188,476507,,,,,,84.36,,
2023/12/15,,,,,,,800855,475940,,,,,,,,
2023/12/18,,,,,,,776336,468457,,,,,,,,
2023/12/19,,,,,,,775631,490506,,,,,,,,
2023/12/20,,,,,,,758536,481473,,,,,,,,
2023/12/21,83.11,64.7,,,,,726231,467200,,,,,,83.11,,
2023/12/22,,,,,,,719974,466961,,,,,,,,
2023/12/25,,,,,,,700310,457605,,,,,,,,
2023/12/26,,,,,,,683884,461253,,,,,,,,
2023/12/27,,,,,,,698656,477115,,,,,,,,
2023/12/28,83.54,65.04,,,,,681327,468558,,,,,,83.54,,
2023/12/29,,,,,,,641323,449616,,,,,,,,
2023/12/31,,,3262.374,10.1,300.44328,14.2,,,,5008.614673,500.458617,-55.006225,25.912148,,1.4,5.1
2024/1/2,,,,,,,669884,475649,,,,,,,,
2024/1/3,,,,,,,675485,481576,,,,,,,,
2024/1/4,85.19,66.32,,,,,700418,501091,,,,,,85.19,,
2024/1/5,,,,,,,694548,491667,,,,,,,,
2024/1/8,,,,,,,681728,479660,,,,,,,,
2024/1/9,,,,,,,691356,484141,,,,,,,,
2024/1/10,,,,,,,732444,505088,,,,,,,,
2024/1/11,88.79,69.12,,,,,749832,512361,,,,,,88.79,,
2024/1/12,,,,,,,758634,521147,,,,,,,,
2024/1/15,,,,,,,759411,523807,,,,,,,,
2024/1/16,,,,,,,691455,467617,,,,,,,,
2024/1/17,,,,,,,714167,490278,,,,,,,,
2024/1/18,89.62,69.77,,,,,702974,483595,,,,,,89.62,,
2024/1/19,,,,,,,715187,495137,,,,,,,,
2024/1/22,,,,,,,697451,457908,,,,,,,,
2024/1/23,,,,,,,648640,436256,,,,,,,,
2024/1/24,,,,,,,676747,467034,,,,,,,,
2024/1/25,87.04,67.76,,,,,695879,484409,,,,,,87.04,,
2024/1/26,,,,,,,697926,473887,,,,,,,,
2024/1/29,,,,,,,726867,504713,,,,,,,,
2024/1/30,,,,,,,694792,474801,,,,,,,,
2024/1/31,,,,,,,690152,471307,,7485.931064,7485.931064,-57.349433,-22.440737,,,
2024/2/1,88.29,68.73,,,,,705308,478406,,,,,,88.29,,
2024/2/2,,,,,,,687554,464938,,,,,,,,
2024/2/5,,,,,,,689430,466370,,,,,,,,
2024/2/6,,,,,,,683145,460886,,,,,,,,
2024/2/7,,,,,,,649891,436420,,,,,,,,
2024/2/8,88.6,70.85,,,,,595061,391158,,,,,,88.6,,
2024/2/19,,,,,,,659058,430170,,,,,,,,
2024/2/20,,,,,,,713495,464142,,,,,,,,
2024/2/21,,,,,,,733344,474379,,,,,,,,
2024/2/22,89.82,71.83,,,,,738488,480794,,,,,,89.82,,
2024/2/23,,,,,,,772488,506960,,,,,,,,
2024/2/26,,,,,,,832368,546588,,,,,,,,
2024/2/27,,,,,,,881437,580391,,,,,,,,
2024/2/28,,,,,,,917673,603080,,,,,,,,
2024/2/29,90.52,74.31,617.49954,18.6,,,907427,586334,,297690.8355,16927.50539,-60.874831,-22.024019,90.52,3.8,
2024/3/1,,,,,,,915292,588799,,,,,,,,
2024/3/4,,,,,,,921589,576994,,,,,,,,
2024/3/5,,,,,,,921146,556379,,,,,,,,
2024/3/6,,,,,,,942415,551727,,,,,,,,
2024/3/7,91.01,74.71,,,,,926655,524076,,,,,,91.01,,
2024/3/8,,,,,,,933182,520769,,,,,,,,
2024/3/11,,,,,,,963559,516629,,,,,,,,
2024/3/12,,,,,,,1008788,535642,,,,,,,,
2024/3/13,,,,,,,1022592,526787,,,,,,,,
2024/3/14,89.3,73.31,,,,,1016785,498303,,,,,,89.3,,
2024/3/15,,,,,,,1043613,505847,,,,,,,,
2024/3/18,,,,,,,1036259,479566,,,,,,,,
2024/3/19,,,,,,,1029284,458002,,,,,,,,
2024/3/20,,,,,,,1061653,463957,,,,,,,,
2024/3/21,89.22,73.24,,,,,1072758,450628,,,,,,89.22,,
2024/3/22,,,,,,,1062126,433056,,,,,,,,
2024/3/25,,,,,,,1130942,565991,,,,,,,,
2024/3/26,,,,,,,1137129,596431,,,,,,,,
2024/3/27,,,,,,,1170660,649142,,,,,,,,
2024/3/28,89.41,73.4,,,,,1161743,656796,,,,,,89.41,,
2024/3/29,,,,,,,1148348,659474,,,,,,,,
2024/3/31,,,940.3,18.7,322.9,17.4,,,,372.929468,1027.153763,-38.746457,93.056343,,2.8,0.5
2024/4/1,,,,,,,1122056,645848,,,,,,,,
2024/4/2,,,,,,,1118252,650401,,,,,,,,
2024/4/3,,,,,,,1064387,625775,,,,,,,,
2024/4/7,85.05,69.82,,,,,,,,,,,,85.05,,
2024/4/8,,,,,,,1073174,659675,,,,,,,,
2024/4/9,,,,,,,1074878,677197,,,,,,,,
2024/4/10,,,,,,,1078508,707377,,,,,,,,
2024/4/11,84.71,70.62,,,,,1093763,722580,,,,,,84.71,,
2024/4/12,,,,,,,1093985,733203,,,,,,,,
2024/4/15,,,,,,,1096090,740072,,,,,,,,
2024/4/16,,,,,,,1079785,729307,,,,,,,,
2024/4/17,,,,,,,1079388,740195,,,,,,,,
2024/4/18,85.61,71.37,,,,,1090109,763384,,,,,,85.61,,
2024/4/19,,,,,,,1065240,748266,,,,,,,,
2024/4/22,,,,,,,1099243,794376,,,,,,,,
2024/4/23,,,,,,,1067433,778706,,,,,,,,
2024/4/24,,,,,,,1104285,814856,,,,,,,,
2024/4/25,87.61,73.04,,,,,1166335,879715,,,,,,87.61,,
2024/4/26,,,,,,,1169105,883514,,,,,,,,
2024/4/29,,,,,,,1109906,831188,,,,,,,,
2024/4/30,,,,,,,993143,727270,,,,,,,,
2024/5/6,,,,,,,1044837,778826,,,,,,,,
2024/5/7,,,,,,,1070359,796070,,,,,,,,
2024/5/8,,,,,,,1072214,794282,,,,,,,,
