,index,JYR,RV,garch,gjrgarch,RV_s1,garch_s1,gjrgarch_s1,RV_s2,garch_s2,gjrgarch_s2,date_x,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,ppi_yoy,lstm,date
221,221,2021-12-30,3.339473988443199e-05,3.338309842209808e-06,9.918959458951097e-05,3.0888044759557876e-05,1.902598266958234e-05,0.0001047062361369509,3.5604905726162005e-05,2.826911652077431e-06,7.985868955255578e-05,2021-12,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,0.00013659852,2021-12-30
222,222,2021-12-31,2.5173936957112463e-05,-1.2166552963731773e-06,9.025368150204287e-05,3.339473988443199e-05,3.338309842209808e-06,9.918959458951097e-05,3.0888044759557876e-05,1.902598266958234e-05,0.0001047062361369509,2021-12,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,0.0001366731,2021-12-31
223,223,2022-02-07,7.923501311462402e-05,2.0701422691819728e-05,0.00019095033542532495,0.00022009688593800438,1.2253669470764122e-05,0.0001916666348329161,0.00010116216902037084,3.656204622931198e-05,0.00019088744443151304,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013641063,2022-02-07
224,224,2022-02-08,0.0001177847648479628,3.2254300396109e-07,0.00017375459794737914,7.923501311462402e-05,2.0701422691819728e-05,0.00019095033542532495,0.00022009688593800438,1.2253669470764122e-05,0.0001916666348329161,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013661597,2022-02-08
225,225,2022-02-09,5.885483129977016e-05,6.061008539361451e-06,0.0001620699774836775,0.0001177847648479628,3.2254300396109e-07,0.00017375459794737914,7.923501311462402e-05,2.0701422691819728e-05,0.00019095033542532495,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013667229,2022-02-09
226,226,2022-02-10,5.191346223057001e-05,-1.9900121710185528e-06,0.00014499920788115872,5.885483129977016e-05,6.061008539361451e-06,0.0001620699774836775,0.0001177847648479628,3.2254300396109e-07,0.00017375459794737914,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.0001367111,2022-02-10
227,227,2022-02-11,6.419456796479248e-05,4.2486157910228865e-06,0.00013945599454977695,5.191346223057001e-05,-1.9900121710185528e-06,0.00014499920788115872,5.885483129977016e-05,6.061008539361451e-06,0.0001620699774836775,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013679318,2022-02-11
228,228,2022-02-14,7.910677435489745e-05,9.118747320094045e-06,0.00014193952797229186,6.419456796479248e-05,4.2486157910228865e-06,0.00013945599454977695,5.191346223057001e-05,-1.9900121710185528e-06,0.00014499920788115872,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013673,2022-02-14
229,229,2022-02-15,4.2342570293540726e-05,8.512949017299391e-06,0.0001364401941397802,7.910677435489745e-05,9.118747320094045e-06,0.00014193952797229186,6.419456796479248e-05,4.2486157910228865e-06,0.00013945599454977695,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013663669,2022-02-15
230,230,2022-02-16,2.7099684406554656e-05,-1.1729295936864818e-06,0.00012289107307419033,4.2342570293540726e-05,8.512949017299391e-06,0.0001364401941397802,7.910677435489745e-05,9.118747320094045e-06,0.00014193952797229186,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013670063,2022-02-16
231,231,2022-02-17,4.6963686135073804e-05,-2.095950851922562e-06,0.0001102017284867635,2.7099684406554656e-05,-1.1729295936864818e-06,0.00012289107307419033,4.2342570293540726e-05,8.512949017299391e-06,0.0001364401941397802,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013676996,2022-02-17
232,232,2022-02-18,2.9814497900256793e-05,-4.153357009200244e-07,0.00010061319550954128,4.6963686135073804e-05,-2.095950851922562e-06,0.0001102017284867635,2.7099684406554656e-05,-1.1729295936864818e-06,0.00012289107307419033,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013669039,2022-02-18
233,233,2022-02-21,2.473639444307212e-05,-1.3498816750914142e-06,9.218246295909613e-05,2.9814497900256793e-05,-4.153357009200244e-07,0.00010061319550954128,4.6963686135073804e-05,-2.095950851922562e-06,0.0001102017284867635,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013668266,2022-02-21
234,234,2022-02-22,5.56906642866318e-05,1.4393564833208091e-05,0.00010851435715941699,2.473639444307212e-05,-1.3498816750914142e-06,9.218246295909613e-05,2.9814497900256793e-05,-4.153357009200244e-07,0.00010061319550954128,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013676612,2022-02-22
235,235,2022-02-23,2.530793425950574e-05,8.628291560560203e-06,0.00010729376769083441,5.56906642866318e-05,1.4393564833208091e-05,0.00010851435715941699,2.473639444307212e-05,-1.3498816750914142e-06,9.218246295909613e-05,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013659237,2022-02-23
236,236,2022-02-24,0.00016324774843967194,3.9275149543373255e-05,0.0001592098302548988,2.530793425950574e-05,8.628291560560203e-06,0.00010729376769083441,5.56906642866318e-05,1.4393564833208091e-05,0.00010851435715941699,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013688195,2022-02-24
237,237,2022-02-25,5.390352347854508e-05,6.710332638029939e-06,0.00014992631729110082,0.00016324774843967194,3.9275149543373255e-05,0.0001592098302548988,2.530793425950574e-05,8.628291560560203e-06,0.00010729376769083441,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013630709,2022-02-25
238,238,2022-02-28,8.021496748676125e-05,-2.3563118459073975e-06,0.0001336253904345608,5.390352347854508e-05,6.710332638029939e-06,0.00014992631729110082,0.00016324774843967194,3.9275149543373255e-05,0.0001592098302548988,2022-02,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,0.00013666398,2022-02-28
239,239,2022-03-01,2.9630690149740602e-05,4.157062003170576e-06,0.00012523554388902536,8.021496748676125e-05,-2.3563118459073975e-06,0.0001336253904345608,5.390352347854508e-05,6.710332638029939e-06,0.00014992631729110082,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013667118,2022-03-01
240,240,2022-03-02,3.423745884776714e-05,5.302638199723777e-06,0.0001237481522836884,2.9630690149740602e-05,4.157062003170576e-06,0.00012523554388902536,8.021496748676125e-05,-2.3563118459073975e-06,0.0001336253904345608,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013674825,2022-03-02
241,241,2022-03-03,3.443833545850399e-05,8.107104169448778e-07,0.00011568167828718894,3.423745884776714e-05,5.302638199723777e-06,0.0001237481522836884,2.9630690149740602e-05,4.157062003170576e-06,0.00012523554388902536,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013673608,2022-03-03
242,242,2022-03-04,5.5216121658503714e-05,1.220845608659438e-05,0.00012578774826448808,3.443833545850399e-05,8.107104169448778e-07,0.00011568167828718894,3.423745884776714e-05,5.302638199723777e-06,0.0001237481522836884,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013679043,2022-03-04
243,243,2022-03-07,7.571552336966979e-05,0.00010274430358126511,0.0002709783597714257,5.5216121658503714e-05,1.220845608659438e-05,0.00012578774826448808,3.443833545850399e-05,8.107104169448778e-07,0.00011568167828718894,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013715102,2022-03-07
244,244,2022-03-08,0.00027294540929295936,3.846200230907879e-05,0.0003012117255383657,7.571552336966979e-05,0.00010274430358126511,0.0002709783597714257,5.5216121658503714e-05,1.220845608659438e-05,0.00012578774826448808,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013669068,2022-03-08
245,245,2022-03-09,0.0006137010776838403,5.776287920166163e-06,0.0002784562877057342,0.00027294540929295936,3.846200230907879e-05,0.0003012117255383657,7.571552336966979e-05,0.00010274430358126511,0.0002709783597714257,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013648553,2022-03-09
246,246,2022-03-10,8.119685463217957e-05,2.1686959316452348e-05,0.00026778900739052704,0.0006137010776838403,5.776287920166163e-06,0.0002784562877057342,0.00027294540929295936,3.846200230907879e-05,0.0003012117255383657,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013549603,2022-03-10
247,247,2022-03-11,0.00029538610461903926,-1.6669061112205169e-06,0.00023738853693058883,8.119685463217957e-05,2.1686959316452348e-05,0.00026778900739052704,0.0006137010776838403,5.776287920166163e-06,0.0002784562877057342,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013651955,2022-03-11
248,248,2022-03-14,0.00021319930406872827,9.387528636841281e-05,0.0003552836638563968,0.00029538610461903926,-1.6669061112205169e-06,0.00023738853693058883,8.119685463217957e-05,2.1686959316452348e-05,0.00026778900739052704,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013685317,2022-03-14
249,249,2022-03-15,0.0004040308016490136,0.00021652276302563313,0.0006431491138353742,0.00021319930406872827,9.387528636841281e-05,0.0003552836638563968,0.00029538610461903926,-1.6669061112205169e-06,0.00023738853693058883,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.000137327,2022-03-15
250,250,2022-03-16,0.0006458162301586945,0.0001765756559873916,0.0007266041172767836,0.0004040308016490136,0.00021652276302563313,0.0006431491138353742,0.00021319930406872827,9.387528636841281e-05,0.0003552836638563968,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.0001365732,2022-03-16
251,251,2022-03-17,0.00018307231915791884,3.5171657212931e-05,0.0006721016484218719,0.0006458162301586945,0.0001765756559873916,0.0007266041172767836,0.0004040308016490136,0.00021652276302563313,0.0006431491138353742,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013611888,2022-03-17
252,252,2022-03-18,0.0001332232586838025,1.7205066660224181e-06,0.0005942573668295192,0.00018307231915791884,3.5171657212931e-05,0.0006721016484218719,0.0006458162301586945,0.0001765756559873916,0.0007266041172767836,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.000137553,2022-03-18
253,253,2022-03-21,0.00011188243426686441,-2.3982005884907165e-06,0.0005225917053032267,0.0001332232586838025,1.7205066660224181e-06,0.0005942573668295192,0.00018307231915791884,3.5171657212931e-05,0.0006721016484218719,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013788065,2022-03-21
254,254,2022-03-22,9.189641607530708e-05,-2.6139160439611676e-06,0.00045955221372647777,0.00011188243426686441,-2.3982005884907165e-06,0.0005225917053032267,0.0001332232586838025,1.7205066660224181e-06,0.0005942573668295192,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013774898,2022-03-22
255,255,2022-03-23,5.6965121996329455e-05,-2.051981705281837e-07,0.00040651934725881376,9.189641607530708e-05,-2.6139160439611676e-06,0.00045955221372647777,0.00011188243426686441,-2.3982005884907165e-06,0.0005225917053032267,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013762525,2022-03-23
256,256,2022-03-24,9.17922744945689e-05,8.160758088043505e-07,0.00036314286849844466,5.6965121996329455e-05,-2.051981705281837e-07,0.00040651934725881376,9.189641607530708e-05,-2.6139160439611676e-06,0.00045955221372647777,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013756668,2022-03-24
257,257,2022-03-25,7.401524971585824e-05,3.0501980353960492e-05,0.00036989108335344384,9.17922744945689e-05,8.160758088043505e-07,0.00036314286849844466,5.6965121996329455e-05,-2.051981705281837e-07,0.00040651934725881376,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013749929,2022-03-25
258,258,2022-03-28,0.00014955587805613206,1.2547253833767087e-06,0.0003317488480681429,7.401524971585824e-05,3.0501980353960492e-05,0.00036989108335344384,9.17922744945689e-05,8.160758088043505e-07,0.00036314286849844466,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013721961,2022-03-28
259,259,2022-03-29,9.2064919494226e-05,-1.482254968132159e-06,0.0002942499164759891,0.00014955587805613206,1.2547253833767087e-06,0.0003317488480681429,7.401524971585824e-05,3.0501980353960492e-05,0.00036989108335344384,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013707552,2022-03-29
260,260,2022-03-30,7.665037879913773e-05,7.913869770908811e-05,0.0003334315046977814,9.2064919494226e-05,-1.482254968132159e-06,0.0002942499164759891,0.00014955587805613206,1.2547253833767087e-06,0.0003317488480681429,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.0001373062,2022-03-30
261,261,2022-03-31,6.207501364906853e-05,2.849629024803728e-06,0.0003022379285319071,7.665037879913773e-05,7.913869770908811e-05,0.0003334315046977814,9.2064919494226e-05,-1.482254968132159e-06,0.0002942499164759891,2022-03,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,0.00013692677,2022-03-31
262,262,2022-04-01,8.636944719489656e-05,1.3207392563183196e-05,0.0002809517721046259,6.207501364906853e-05,2.849629024803728e-06,0.0003022379285319071,7.665037879913773e-05,7.913869770908811e-05,0.0003334315046977814,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001372823,2022-04-01
263,263,2022-04-06,7.84630633033087e-05,-1.8469809507184853e-06,0.0002492478888814699,8.636944719489656e-05,1.3207392563183196e-05,0.0002809517721046259,6.207501364906853e-05,2.849629024803728e-06,0.0003022379285319071,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013703249,2022-04-06
264,264,2022-04-07,9.282201832625974e-05,1.4016440071900666e-05,0.00024539435938747786,7.84630633033087e-05,-1.8469809507184853e-06,0.0002492478888814699,8.636944719489656e-05,1.3207392563183196e-05,0.0002809517721046259,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001370851,2022-04-07
265,265,2022-04-08,0.00010612284181471354,-4.243878197035617e-08,0.00021925646737608486,9.282201832625974e-05,1.4016440071900666e-05,0.00024539435938747786,7.84630633033087e-05,-1.8469809507184853e-06,0.0002492478888814699,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001368613,2022-04-08
266,266,2022-04-11,0.00011860417399978407,9.579060687249033e-05,0.0003423007661483954,0.00010612284181471354,-4.243878197035617e-08,0.00021925646737608486,9.282201832625974e-05,1.4016440071900666e-05,0.00024539435938747786,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013731135,2022-04-11
267,267,2022-04-12,0.00021357065716716336,3.457756252434255e-05,0.00033527937763836964,0.00011860417399978407,9.579060687249033e-05,0.0003423007661483954,0.00010612284181471354,-4.243878197035617e-08,0.00021925646737608486,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001367047,2022-04-12
268,268,2022-04-13,8.446539656068681e-05,6.674441696152448e-06,0.0003096218856505978,0.00021357065716716336,3.457756252434255e-05,0.00033527937763836964,0.00011860417399978407,9.579060687249033e-05,0.0003423007661483954,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013680194,2022-04-13
269,269,2022-04-14,0.00010443984598081405,1.2801724913721847e-05,0.00028704753184445825,8.446539656068681e-05,6.674441696152448e-06,0.0003096218856505978,0.00021357065716716336,3.457756252434255e-05,0.00033527937763836964,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013708536,2022-04-14
270,270,2022-04-15,0.00011251272870894172,-2.634162161533864e-06,0.0002533968073094148,0.00010443984598081405,1.2801724913721847e-05,0.00028704753184445825,8.446539656068681e-05,6.674441696152448e-06,0.0003096218856505978,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001369835,2022-04-15
271,271,2022-04-18,9.317976459409904e-05,1.8780168847244537e-07,0.0002281991438234419,0.00011251272870894172,-2.634162161533864e-06,0.0002533968073094148,0.00010443984598081405,1.2801724913721847e-05,0.00028704753184445825,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013692366,2022-04-18
272,272,2022-04-19,6.571417707758998e-05,3.0727258474840227e-06,0.000210493373439463,9.317976459409904e-05,1.8780168847244537e-07,0.0002281991438234419,0.00011251272870894172,-2.634162161533864e-06,0.0002533968073094148,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.0001368795,2022-04-19
273,273,2022-04-20,0.00010298076277927848,2.1737785212836482e-05,0.00022310862071458365,6.571417707758998e-05,3.0727258474840227e-06,0.000210493373439463,9.317976459409904e-05,1.8780168847244537e-07,0.0002281991438234419,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013699305,2022-04-20
274,274,2022-04-21,0.0002084046229555235,3.1863887370951956e-05,0.00024939751973169664,0.00010298076277927848,2.1737785212836482e-05,0.00022310862071458365,6.571417707758998e-05,3.0727258474840227e-06,0.000210493373439463,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013689396,2022-04-21
275,275,2022-04-22,0.0001667989202930234,-7.863960305101973e-07,0.0002220879335873505,0.0002084046229555235,3.1863887370951956e-05,0.00024939751973169664,0.00010298076277927848,2.1737785212836482e-05,0.00022310862071458365,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013643623,2022-04-22
276,276,2022-04-25,0.0003059319907148306,0.0002542103641123192,0.0005833587358158652,0.0001667989202930234,-7.863960305101973e-07,0.0002220879335873505,0.0002084046229555235,3.1863887370951956e-05,0.00024939751973169664,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013786854,2022-04-25
277,277,2022-04-26,0.0003140555721310918,3.94428007681652e-06,0.0005225204496590154,0.0003059319907148306,0.0002542103641123192,0.0005833587358158652,0.0001667989202930234,-7.863960305101973e-07,0.0002220879335873505,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013588686,2022-04-26
278,278,2022-04-27,0.0004114920780749033,8.153033542171677e-05,0.0005353482948981945,0.0003140555721310918,3.94428007681652e-06,0.0005225204496590154,0.0003059319907148306,0.0002542103641123192,0.0005833587358158652,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013740525,2022-04-27
279,279,2022-04-28,0.00013326405001377523,1.606638272430982e-06,0.00047447750350916807,0.0004114920780749033,8.153033542171677e-05,0.0005353482948981945,0.0003140555721310918,3.94428007681652e-06,0.0005225204496590154,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013644197,2022-04-28
280,280,2022-04-29,0.0004368007750989214,5.478303423250395e-05,0.0004691798573496695,0.00013326405001377523,1.606638272430982e-06,0.00047447750350916807,0.0004114920780749033,8.153033542171677e-05,0.0005353482948981945,2022-04,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,0.00013751356,2022-04-29
281,281,2022-05-05,8.245743121938024e-05,-2.4511985588626188e-06,0.00041305258833210543,0.0004368007750989214,5.478303423250395e-05,0.0004691798573496695,0.00013326405001377523,1.606638272430982e-06,0.00047447750350916807,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.0001364122,2022-05-05
282,282,2022-05-06,8.3547296601604e-05,6.289773458641367e-05,0.0004623550779737861,8.245743121938024e-05,-2.4511985588626188e-06,0.00041305258833210543,0.0004368007750989214,5.478303423250395e-05,0.0004691798573496695,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013759008,2022-05-06
283,283,2022-05-09,7.77911057216118e-05,3.8208799303053875e-06,0.0004165247085365388,8.3547296601604e-05,6.289773458641367e-05,0.0004623550779737861,8.245743121938024e-05,-2.4511985588626188e-06,0.00041305258833210543,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013731798,2022-05-09
284,284,2022-05-10,0.00021230963998782103,9.165139055350747e-06,0.00037731801548005124,7.77911057216118e-05,3.8208799303053875e-06,0.0004165247085365388,8.3547296601604e-05,6.289773458641367e-05,0.0004623550779737861,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013757445,2022-05-10
285,285,2022-05-11,9.760337775143088e-05,1.7836530111427065e-05,0.0003508297780314395,0.00021230963998782103,9.165139055350747e-06,0.00037731801548005124,7.77911057216118e-05,3.8208799303053875e-06,0.0004165247085365388,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013705855,2022-05-11
286,286,2022-05-12,0.00010094452947921557,-6.936157460442624e-07,0.0003121349094147968,9.760337775143088e-05,1.7836530111427065e-05,0.0003508297780314395,0.00021230963998782103,9.165139055350747e-06,0.00037731801548005124,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.0001370929,2022-05-12
287,287,2022-05-13,8.336185579244783e-05,2.9671704254240043e-06,0.000280375945770741,0.00010094452947921557,-6.936157460442624e-07,0.0003121349094147968,9.760337775143088e-05,1.7836530111427065e-05,0.0003508297780314395,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013714537,2022-05-13
288,288,2022-05-16,9.000388654591228e-05,3.8335210494867825e-06,0.00025729903877660444,8.336185579244783e-05,2.9671704254240043e-06,0.000280375945770741,0.00010094452947921557,-6.936157460442624e-07,0.0003121349094147968,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013708073,2022-05-16
289,289,2022-05-17,8.169986156156106e-05,1.2686177427423665e-05,0.0002411556084079381,9.000388654591228e-05,3.8335210494867825e-06,0.00025729903877660444,8.336185579244783e-05,2.9671704254240043e-06,0.000280375945770741,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013700654,2022-05-17
290,290,2022-05-18,7.12103776440708e-05,-1.4572812804652194e-06,0.0002150091716200386,8.169986156156106e-05,1.2686177427423665e-05,0.0002411556084079381,9.000388654591228e-05,3.8335210494867825e-06,0.00025729903877660444,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013689938,2022-05-18
