,re,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset
183,0.09316037735849059,60.34,0.026857290306045556,-0.05561512509898048,2948823.0,1070991.0,90.3,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,235,-0.03498387905637676,-1,-0.09316037735849059,0.6046708882452767
184,0.07335490830636471,56.02,0.01447764074005109,0.032933049857561736,2991515.0,1106262.0,83.84,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,236,-0.0334355434315164,-1,-0.07335490830636471,0.531315979938912
185,0.048241206030150696,56.54,0.07232154944902502,0.0890756439252185,3207866.0,1204803.0,84.62,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,237,-0.03249218827462511,-1,-0.048241206030150696,0.4830747739087613
186,-0.046979865771812124,56.88,-0.10829130643237594,-0.24000355244799354,2860482.0,915646.0,85.13,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,238,-0.032600128143156666,-1,0.046979865771812124,0.5300546396805734
187,0.03420523138832987,54.72,0.06278067822136268,0.023574612896250402,3040065.0,937232.0,81.9,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,239,-0.03589947053859981,-1,-0.03420523138832987,0.49584940829224355
188,0.1532101167315174,54.1,-0.10800426964555032,-0.33469407788039673,2711725.0,623546.0,79.42,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,240,-0.040223495070546594,-1,-0.1532101167315174,0.34263929156072614
189,0.2547448334036271,54.81,0.19596861776175678,1.0365778948144966,3243138.0,1269900.0,78.3,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,241,-0.04724173778158974,-1,-0.2547448334036271,0.08789445815709906
190,0.09243697478991586,55.95,-0.03900543239294785,-0.0008551854476730458,3116638.0,1268814.0,79.93,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,242,-0.03425059463466076,-1,-0.09243697478991586,-0.004542516632816795
191,0.09046153846153837,57.01,-0.18621091060302797,-0.20746145613147393,2536286.0,1005584.0,81.44,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,243,-0.02400454659369454,-1,-0.09046153846153837,-0.09500405509435517
192,-0.019469525959367906,56.92,-0.13909235788077523,-0.0398146748556063,2183508.0,965547.0,81.32,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,244,-0.0229114842178779,-1,0.019469525959367906,-0.07553452913498726
193,-0.019469525959367906,55.28,-0.283360995242518,-0.16603748963023035,1564787.0,805230.0,78.5,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,245,-0.028138432307427488,-1,0.019469525959367906,-0.056065003175619355
