,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset
71,0.08528341133645356,0.00997899159663862,-0.004704652378463181,-0.07225994180407369,-0.005785920925747368,-0.011439466158245981,58.54,-0.04232240027061962,0.46081059526320933,427491.0,283910.0,82.55,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021,4,120,0.032522030330824486,1,0.08528341133645356,0.12236433710019423
72,0.035936751317680926,0.08528341133645356,0.00997899159663862,-0.004704652378463181,-0.07225994180407369,-0.005785920925747368,59.94,0.05166190633253098,0.2561551195801486,449576.0,356635.0,84.52,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021,4,121,0.02132708858178673,1,0.035936751317680926,0.15830108841787516
73,0.01803885291396856,0.035936751317680926,0.08528341133645356,0.00997899159663862,-0.004704652378463181,-0.07225994180407369,59.85,-0.05301662010427599,-0.024422729120809783,425741.0,347925.0,84.4,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021,5,122,0.028533521621971255,1,0.01803885291396856,0.17633994133184372
74,-0.051794638800545245,0.01803885291396856,0.035936751317680926,0.08528341133645356,0.00997899159663862,-0.004704652378463181,59.59,0.0023206597438347742,-0.004440612200905414,426729.0,346380.0,83.98,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021,5,123,0.02721819580945683,1,-0.051794638800545245,0.12454530253129847
75,0.04264494489698123,-0.051794638800545245,0.01803885291396856,0.035936751317680926,0.08528341133645356,0.00997899159663862,56.36,0.009012745794169108,-0.01994341474680983,430575.0,339472.0,79.91,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021,5,124,0.020543309227686764,1,0.04264494489698123,0.1671902474282797
76,0.03170955882352944,0.04264494489698123,-0.051794638800545245,0.01803885291396856,0.035936751317680926,0.08528341133645356,57.29,0.32428496777564875,0.36763267662723287,570204.0,464273.0,81.23,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021,5,125,0.027159783271746854,1,0.03170955882352944,0.19889980625180914
77,-0.031180400890868598,0.03170955882352944,0.04264494489698123,-0.051794638800545245,0.01803885291396856,0.035936751317680926,56.77,-0.05767234182853853,-0.09004615818710116,537319.0,422467.0,80.49,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021,6,126,0.0393833386795728,1,-0.031180400890868598,0.16771940536094054
78,0.0045977011494253706,-0.031180400890868598,0.03170955882352944,0.04264494489698123,-0.051794638800545245,0.01803885291396856,56.29,-0.015467534183604137,-0.09705136732573194,529008.0,381466.0,79.33,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021,6,127,0.043883511208012545,1,0.0045977011494253706,0.1723171065103659
79,0.04485125858123573,0.0045977011494253706,-0.031180400890868598,0.03170955882352944,0.04264494489698123,-0.051794638800545245,55.8,-0.07147907025980704,-0.05702998432363571,491195.0,359711.0,78.64,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021,6,128,0.03685279856042567,1,0.04485125858123573,0.21716836509160165
80,-0.007446342531756467,0.04485125858123573,0.0045977011494253706,-0.031180400890868598,0.03170955882352944,0.04264494489698123,55.77,0.09418051893850721,0.11050815793790014,537456.0,399462.0,78.6,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021,6,129,0.030485804815749095,1,-0.007446342531756467,0.20972202255984518
81,0.0026478375992939895,-0.007446342531756467,0.04485125858123573,0.0045977011494253706,-0.031180400890868598,0.03170955882352944,55.46,-0.08578562710249771,-0.12463763762260238,491350.0,349674.0,78.16,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,130,0.03446508365097166,1,0.0026478375992939895,0.21236986015913917
82,0.026848591549295753,0.0026478375992939895,-0.007446342531756467,0.04485125858123573,0.0045977011494253706,-0.031180400890868598,56.05,0.05310267629998977,0.007243890023278743,517442.0,352207.0,78.99,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,131,0.0632652038222052,1,0.026848591549295753,0.23921845170843492
83,0.002571795970852886,0.026848591549295753,0.0026478375992939895,-0.007446342531756467,0.04485125858123573,0.0045977011494253706,53.35,0.0859767858040128,-0.017711175530298995,561930.0,345969.0,75.19,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,132,0.06424583141416756,1,0.002571795970852886,0.2417902476792878
84,-0.00042753313381782565,0.002571795970852886,0.026848591549295753,0.0026478375992939895,-0.007446342531756467,0.04485125858123573,48.38,-0.06264125424874989,-0.134295269229324,526730.0,299507.0,68.19,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,133,0.06366328161877467,1,-0.00042753313381782565,0.24136271454546998
85,0.0055603079555175405,-0.00042753313381782565,0.002571795970852886,0.026848591549295753,0.0026478375992939895,-0.007446342531756467,50.78,-0.01847625918402218,-0.05188860360525793,516998.0,283966.0,71.56,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,134,0.06638409114175613,1,0.0055603079555175405,0.24692302250098752
86,0.04934070608251817,0.0055603079555175405,-0.00042753313381782565,0.002571795970852886,0.026848591549295753,0.0026478375992939895,54.67,0.027477862583607626,-0.06098265285280635,531204.0,266649.0,77.04,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,135,0.07535652486076846,1,0.04934070608251817,0.2962637285835057
87,0.006080259424402046,0.04934070608251817,0.0055603079555175405,-0.00042753313381782565,0.002571795970852886,0.026848591549295753,54.73,-0.03423731749007919,0.1036268652798249,513017.0,294281.0,77.14,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,136,0.07370304943137404,1,0.006080259424402046,0.30234398800790774
88,-0.0149073327961321,0.006080259424402046,0.04934070608251817,0.0055603079555175405,-0.00042753313381782565,0.002571795970852886,51.0,0.08850388973464818,0.2714106585202578,558421.0,374152.0,71.67,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,137,0.05363395044327827,1,-0.0149073327961321,0.28743665521177564
89,0.03885480572597144,-0.0149073327961321,0.006080259424402046,0.04934070608251817,0.0055603079555175405,-0.00042753313381782565,55.28,0.09855288393523876,0.21378744467489152,613455.0,454141.0,77.67,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,138,0.04084184697428423,1,0.03885480572597144,0.3262914609377471
90,0.08779527559055111,0.03885480572597144,-0.0149073327961321,0.006080259424402046,0.04934070608251817,0.0055603079555175405,55.21,-0.08538197585804985,-0.09584027867996947,561077.0,410616.0,77.58,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,139,0.03826084588857979,1,0.08779527559055111,0.4140867365282982
91,0.019905899384726755,0.08779527559055111,0.03885480572597144,-0.0149073327961321,0.006080259424402046,0.04934070608251817,54.99,-0.05285905499601662,-0.04385606016326693,531419.0,392608.0,77.27,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,140,0.03242494456871458,1,0.019905899384726755,0.43399263591302495
92,0.03406671398154715,0.019905899384726755,0.08779527559055111,0.03885480572597144,-0.0149073327961321,0.006080259424402046,54.36,-0.018736627783349835,-0.02703459939685382,521462.0,381994.0,76.39,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,141,0.046354437817409055,1,0.03406671398154715,0.4680593498945721
93,-0.0041180507892930596,0.03406671398154715,0.019905899384726755,0.08779527559055111,0.03885480572597144,-0.0149073327961321,56.46,0.10901081958033365,0.12325586265752864,578307.0,429077.0,79.33,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,142,0.036814485869525994,1,-0.0041180507892930596,0.46394129910527904
94,0.01447277739490005,-0.0041180507892930596,0.03406671398154715,0.019905899384726755,0.08779527559055111,0.03885480572597144,51.63,-0.09227278936620165,-0.0924006646825628,524945.0,389430.0,72.55,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,143,0.04039292174307605,1,0.01447277739490005,0.4784140765001791
95,-0.036684782608695676,0.01447277739490005,-0.0041180507892930596,0.03406671398154715,0.019905899384726755,0.08779527559055111,51.85,0.02031831906199688,0.01973397016151801,535611.0,397115.0,72.86,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,-0.7,12.5,38.4,2.1,-13.7,9.4,10.7,6.7,2021,10,144,0.04202874614935107,1,-0.036684782608695676,0.4417292938914834
97,-0.11600846262341324,-0.036684782608695676,0.01447277739490005,-0.0041180507892930596,0.03406671398154715,0.019905899384726755,52.66,-0.16899764941347362,-0.20329375621671308,445094.0,316384.0,73.99,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,-0.7,12.5,38.4,2.1,-13.7,9.4,10.7,6.7,2021,10,146,0.040119552167167574,1,-0.11600846262341324,0.32572083126807017
98,-0.041483845233346583,-0.11600846262341324,-0.036684782608695676,0.01447277739490005,-0.0041180507892930596,0.03406671398154715,53.69,-0.050456757448988254,-0.10825136542935165,422636.0,282135.0,75.44,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,-0.7,12.5,38.4,2.1,-13.7,9.4,10.7,6.7,2021,10,147,0.04288199104353931,1,-0.041483845233346583,0.2842369860347236
99,-0.028714107365792718,-0.041483845233346583,-0.11600846262341324,-0.036684782608695676,0.01447277739490005,-0.0041180507892930596,54.46,-0.21697394448177632,-0.28036223793574,330935.0,203035.0,76.53,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021,11,148,0.015085216705533292,1,-0.028714107365792718,0.25552287866893086
100,-0.0047129391602399595,-0.028714107365792718,-0.041483845233346583,-0.11600846262341324,-0.036684782608695676,0.01447277739490005,53.99,0.33452490670373347,0.6167803580663433,441641.0,328263.0,75.86,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021,11,149,0.05993443572816436,1,-0.0047129391602399595,0.2508099395086909
101,0.00516573396470088,-0.0047129391602399595,-0.028714107365792718,-0.041483845233346583,-0.11600846262341324,-0.036684782608695676,56.31,0.162824556596874,0.1611634573497469,513551.0,381167.0,79.13,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021,11,150,0.05770432398577271,1,0.00516573396470088,0.2559756734733918
102,0.07580299785867228,0.00516573396470088,-0.0047129391602399595,-0.028714107365792718,-0.041483845233346583,-0.11600846262341324,53.62,-0.06644130767927625,-0.07435585976750347,479430.0,352825.0,75.35,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,-6.7,10.0,31.9,4.8,-8.3,7.1,13.5,7.3,2021,11,151,0.05276964570365918,1,0.07580299785867228,0.33177867133206407
103,-0.07722929936305734,0.07580299785867228,0.00516573396470088,-0.0047129391602399595,-0.028714107365792718,-0.041483845233346583,53.44,-0.022989800387960724,-0.10459292850563306,468408.0,315922.0,75.09,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021,12,152,0.041376152782967655,1,-0.07722929936305734,0.25454937196900673
104,0.03796376186367567,-0.07722929936305734,0.07580299785867228,0.00516573396470088,-0.0047129391602399595,-0.028714107365792718,58.29,-0.06453988830250545,-0.2591145915764018,438177.0,234062.0,81.91,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021,12,153,0.04628812147042141,1,0.03796376186367567,0.2925131338326824
105,-0.0228595178719867,0.03796376186367567,-0.07722929936305734,0.07580299785867228,0.00516573396470088,-0.0047129391602399595,59.2,-0.04438617271102774,0.03149165605694226,418728.0,241433.0,83.19,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021,12,154,0.037678711924887046,1,-0.0228595178719867,0.2696536159606957
106,-0.032752020416843886,-0.0228595178719867,0.03796376186367567,-0.07722929936305734,0.07580299785867228,0.00516573396470088,58.74,0.15161871190844645,0.617666184821462,482215.0,390558.0,82.54,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021,12,155,0.042354013664172144,1,-0.032752020416843886,0.23690159554385182
107,0.17810026385224265,-0.032752020416843886,-0.0228595178719867,0.03796376186367567,-0.07722929936305734,0.07580299785867228,56.68,-0.14612776458633592,-0.0944443590964722,411750.0,353672.0,79.65,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,5.2,14.8,29.9,2.1,-7.1,5.3,12.9,7.9,2021,12,156,0.041080565559714524,1,0.17810026385224265,0.41500185939609446
109,0.04665920119447553,0.17810026385224265,-0.032752020416843886,-0.0228595178719867,0.03796376186367567,-0.07722929936305734,55.14,0.1589508196721312,0.1856267954488906,477198.0,419323.0,82.38,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,8.1,2022,1,158,0.02442959245606548,1,0.04665920119447553,0.46166106059057
110,0.049572039942938684,0.04665920119447553,0.17810026385224265,-0.032752020416843886,-0.0228595178719867,0.03796376186367567,55.42,-0.014170218651377464,-0.09059841697211934,470436.0,381333.0,82.81,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,8.1,2022,1,159,0.10394365797738293,1,0.049572039942938684,0.5112331005335087
111,-0.014950730547060864,0.049572039942938684,0.04665920119447553,0.17810026385224265,-0.032752020416843886,-0.0228595178719867,54.92,0.20601527094014904,0.11650709484885913,567353.0,425761.0,82.06,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,10.3,8.1,2022,1,160,0.17858646599986208,1,-0.014950730547060864,0.4962823699864478
113,-0.06553984132459467,-0.014950730547060864,0.049572039942938684,0.04665920119447553,0.17810026385224265,-0.032752020416843886,55.9,0.04215541294396963,-0.07885409889585937,591270.0,392188.0,83.52,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,9.1,9.1,2022,2,163,0.7980758570730989,1,-0.06553984132459467,0.43074252866185314
114,0.04466592838685868,-0.06553984132459467,-0.014950730547060864,0.049572039942938684,0.04665920119447553,0.17810026385224265,55.8,0.2981734233091482,0.3742822319907799,767571.0,538977.0,84.99,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,5.9,10.2,29.2,5.8,3.4,4.8,9.1,9.1,2022,2,164,-0.022213000765293138,-1,-0.04466592838685868,0.38607660027499446
115,-0.04452296819787982,0.04466592838685868,-0.06553984132459467,-0.014950730547060864,0.049572039942938684,0.04665920119447553,55.65,-0.0027463257470644598,-0.054347402579330795,765463.0,509685.0,84.77,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,165,0.013114493890354692,1,-0.04452296819787982,0.34155363207711464
116,-0.014423076923076872,-0.04452296819787982,0.04466592838685868,-0.06553984132459467,-0.014950730547060864,0.049572039942938684,57.62,-0.025758266565464316,-0.03428392046067674,745746.0,492211.0,87.77,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,166,0.043724320347713175,1,-0.014423076923076872,0.32713055515403777
117,0.0900562851782365,-0.014423076923076872,-0.04452296819787982,0.04466592838685868,-0.06553984132459467,-0.014950730547060864,58.07,-0.05073577330619272,-0.177224808059958,707910.0,404979.0,88.46,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,167,0.03134438961799968,1,0.0900562851782365,0.41718684033227427
118,0.04647160068846823,0.0900562851782365,-0.014423076923076872,-0.04452296819787982,0.04466592838685868,-0.06553984132459467,58.92,-0.043129776384003615,-0.077922558947501,677378.0,373422.0,89.75,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,168,0.08372544053042093,1,0.04647160068846823,0.4636584410207425
119,-0.03157894736842104,0.04647160068846823,0.0900562851782365,-0.014423076923076872,-0.04452296819787982,0.04466592838685868,57.29,0.10710711006262374,-0.03487207502503875,749930.0,360400.0,86.42,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,169,0.2527014573071322,1,-0.03157894736842104,0.43207949365232146
120,0.06487771739130443,-0.03157894736842104,0.04647160068846823,0.0900562851782365,-0.014423076923076872,-0.04452296819787982,56.77,-0.04844052111530406,-0.08164816870144287,713603.0,330974.0,85.64,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,170,0.24368627081878957,1,0.06487771739130443,0.4969572110436259
121,-0.009250398724082953,0.06487771739130443,-0.03157894736842104,0.04647160068846823,0.0900562851782365,-0.014423076923076872,57.3,0.18724276663635098,0.596234145280294,847220.0,528312.0,86.45,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,171,0.08685117112969977,1,-0.009250398724082953,0.48770681231954294
122,-0.03283966516419834,-0.009250398724082953,0.06487771739130443,-0.03157894736842104,0.04647160068846823,0.0900562851782365,58.34,0.06293170605037646,0.1387399869773922,900537.0,601610.0,88.01,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,172,-0.02463463335453458,-1,0.03283966516419834,0.5205464774837413
