,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset
11,-0.053955189757658895,-0.022351363433169458,0.011301989150090508,0.007285974499089187,-0.031746031746031744,-0.0039525691699604515,62.36,-0.007285306319063212,-0.08692350414272276,1296266.0,644464.0,93.32,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,218,-0.001212324326576844,-1,0.053955189757658895,0.053955189757658895
12,0.02126631222812958,-0.053955189757658895,-0.022351363433169458,0.011301989150090508,0.007285974499089187,-0.031746031746031744,62.33,0.06450759334889589,-0.009047828893468113,1379885.0,638633.0,93.28,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,219,-0.030552623674225038,-1,-0.02126631222812958,0.032688877529529314
13,-0.011831519167061044,0.02126631222812958,-0.053955189757658895,-0.022351363433169458,0.011301989150090508,0.007285974499089187,62.2,0.013530837714737176,-0.07620495652432613,1398556.0,589966.0,90.09,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,220,0.0005568977904294168,1,-0.011831519167061044,0.02085735836246827
14,-0.014367816091954033,-0.011831519167061044,0.02126631222812958,-0.053955189757658895,-0.022351363433169458,0.011301989150090508,61.75,0.01268808685529943,-0.11256750389005465,1416301.0,523555.0,92.42,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,221,0.0024724289443388485,1,-0.014367816091954033,0.006489542270514237
15,-0.04518950437317781,-0.014367816091954033,-0.011831519167061044,0.02126631222812958,-0.053955189757658895,-0.022351363433169458,62.66,0.026859403474261523,0.1885971865420062,1454342.0,622296.0,93.78,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,222,-0.004809900471604173,-1,0.04518950437317781,0.05167904664369205
16,-0.027989821882951627,-0.04518950437317781,-0.014367816091954033,-0.011831519167061044,0.02126631222812958,-0.053955189757658895,61.18,-0.03172912561144492,0.07634469770012986,1408197.0,669805.0,91.57,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,223,-0.012944462279879899,-1,0.027989821882951627,0.07966886852664368
17,-0.05183246073298431,-0.027989821882951627,-0.04518950437317781,-0.014367816091954033,-0.011831519167061044,0.02126631222812958,60.63,0.050681119189999624,0.1261382044027739,1479566.0,754293.0,90.73,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,224,0.012299380615639585,1,-0.05183246073298431,0.027836407793659368
18,0.004417448923246914,-0.05183246073298431,-0.027989821882951627,-0.04518950437317781,-0.014367816091954033,-0.011831519167061044,62.1,0.036637094931892156,0.054370118773473974,1533773.0,795304.0,92.94,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,225,-0.0035742780945947268,-1,-0.004417448923246914,0.023418958870412454
19,-0.07476635514018692,0.004417448923246914,-0.05183246073298431,-0.027989821882951627,-0.04518950437317781,-0.014367816091954033,63.05,0.038351829116825,0.07576348163721036,1592596.0,855559.0,94.36,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,226,-0.004410744229563653,-1,0.07476635514018692,0.09818531401059938
20,-0.03980986333927505,-0.07476635514018692,0.004417448923246914,-0.05183246073298431,-0.027989821882951627,-0.04518950437317781,62.5,-0.021684093141010052,-0.01306280455234532,1558062.0,844383.0,93.54,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,227,-0.019806875685140612,-1,0.03980986333927505,0.13799517734987443
