,re,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset,asset0
115,-0.04452296819787982,55.65,-0.0027463257470644598,-0.054347402579330795,765463.0,509685.0,84.77,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,165,-0.025413834,-1,0.04452296819787982,0.16702875621003566,0.5454488322474724
116,-0.014423076923076872,57.62,-0.025758266565464316,-0.03428392046067674,745746.0,492211.0,87.77,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,166,-0.038402397,-1,0.014423076923076872,0.18145183313311253,0.5310257553243956
117,0.0900562851782365,58.07,-0.05073577330619272,-0.177224808059958,707910.0,404979.0,88.46,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,167,-0.026203753,-1,-0.0900562851782365,0.09139554795487603,0.621082040502632
118,0.04647160068846823,58.92,-0.043129776384003615,-0.077922558947501,677378.0,373422.0,89.75,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,5.9,-5.9,7.2,5.8,3.4,11.1,8.8,8.9,2022,3,168,0.010894169,1,0.04647160068846823,0.13786714864334426,0.6675536411911003
119,-0.03157894736842104,57.29,0.10710711006262374,-0.03487207502503875,749930.0,360400.0,86.42,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,169,0.01606363,1,-0.03157894736842104,0.10628820127492322,0.6359746938226792
120,0.06487771739130443,56.77,-0.04844052111530406,-0.08164816870144287,713603.0,330974.0,85.64,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,170,-0.025589777,-1,-0.06487771739130443,0.04141048388361879,0.7008524112139837
121,-0.009250398724082953,57.3,0.18724276663635098,0.596234145280294,847220.0,528312.0,86.45,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,171,0.018311279,1,-0.009250398724082953,0.032160085159535834,0.6916020124899007
122,-0.03283966516419834,58.34,0.06293170605037646,0.1387399869773922,900537.0,601610.0,88.01,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,172,0.0127046965,1,-0.03283966516419834,-0.0006795800046625056,0.6587623473257024
123,-0.007323568575232975,58.85,0.061585476221410085,0.12349196323199418,955997.0,675904.0,88.78,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,173,0.0012401325,1,-0.007323568575232975,-0.00800314857989548,0.6514387787504694
124,0.0013413816230718467,59.23,-0.14114374835904298,-0.17619070163810246,821064.0,556816.0,89.35,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,174,0.012688324,1,0.0013413816230718467,-0.006661766956823634,0.6527801603735413
126,0.01841929002009368,56.63,0.09184302319916604,0.16454448148041734,896473.0,648437.0,85.43,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,176,0.0060634133,1,0.01841929002009368,0.011757523063270048,0.6711994503936349
127,0.028280170996382692,57.62,-0.046439770076734055,-0.10856875841446434,854841.0,578037.0,86.93,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,177,0.013304617,1,0.028280170996382692,0.04003769405965274,0.6994796213900176
128,-0.03741605372561563,59.7,0.061672287595003095,0.06589024578011449,907561.0,616124.0,90.06,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,178,0.008941343,1,-0.03741605372561563,0.002621640334037112,0.662063567664402
